game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,points_against,sacks
SYNTHETIC_CFL_2022_W4_OTT,,2022,4,CFL,,,,2.0,34.0,1.0
SYNTHETIC_CFL_2022_W5_OTT,,2022,5,CFL,,,,0.0,28.0,5.0
6233,2022-07-16,2022,6,CFL,OTT,HAM,,1.0,25.0,5.0
6234,2022-07-21,2022,7,CFL,MTL,OTT,,0.0,40.0,2.0
6241,2022-07-31,2022,8,CFL,OTT,TOR,,0.0,13.0,4.0
6243,2022-08-05,2022,9,CFL,CGY,OTT,,1.0,17.0,1.0
6250,2022-08-19,2022,11,CFL,EDM,OTT,,0.0,30.0,1.0
6257,2022-08-27,2022,12,CFL,OTT,EDM,,0.0,0.0,0.0
6258,2022-09-02,2022,13,CFL,OTT,MTL,,2.0,24.0,4.0
6263,2022-09-10,2022,14,CFL,TOR,OTT,,1.0,24.0,3.0
6270,2022-09-24,2022,16,CFL,TOR,OTT,,1.0,45.0,2.0
6273,2022-09-30,2022,17,CFL,OTT,BC,,0.0,34.0,5.0
6279,2022-10-10,2022,18,CFL,OTT,MTL,,0.0,0.0,0.0
6280,2022-10-14,2022,19,CFL,MTL,OTT,,0.0,34.0,4.0
6284,2022-10-21,2022,20,CFL,OTT,HAM,,1.0,30.0,1.0
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,,19.0,4.0
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,26.0,3.0
9889295,2023-06-30,2023,4,CFL,EDM,OTT,,,7.0,4.0
9889300,2023-07-08,2023,5,CFL,OTT,HAM,,1.0,21.0,2.0
9889304,2023-07-15,2023,6,CFL,WPG,OTT,,1.0,28.0,3.0
9889309,2023-07-23,2023,7,CFL,OTT,CGY,,,41.0,3.0
9889310,2023-07-28,2023,8,CFL,HAM,OTT,,,16.0,1.0
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,26.0,0.0
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,44.0,0.0
9889324,2023-08-19,2023,11,CFL,MTL,OTT,,,25.0,4.0
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,30.0,2.0
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,27.0,1.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,41.0,3.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,28.0,5.0
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,32.0,4.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,29.0,1.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,40.0,1.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,27.0,2.0
SYNTHETIC_CFL_2024_W1_OTT,,2024,1,CFL,,,,1.0,31.0,0.0
