game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,18.0,4.0,34.0,,,
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,13.0,2.0,29.0,1.0,13.0,1.0
