game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_defended,pat_made,qb_hits,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2024_6_9_SA@STL,2024-06-09,2024,1,UFL,SA,STL,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_19_ARL@SA,2024-05-19,2024,8,UFL,ARL,SA,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_25_BHAM@SA,2024-05-25,2024,9,UFL,BHAM,SA,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
FOOTBALL_UFL_2024_6_1_SA@STL,2024-06-01,2024,10,UFL,SA,STL,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
FOOTBALL_NAL_2025_3_8_T425360G979249@T450150,2025-03-09,2025,1,NAL,Omaha Beef,Shreveport Rouxgaroux,,,,,,,,2.0,31.0,22.0,0.0,62.0,,,,10.0,12.0,0.0,0.0,20.0,2.0,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_22_T425362G979256@T450150,2025-03-23,2025,3,NAL,Wheeling Miners,Shreveport Rouxgaroux,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,13.0,,,,4.0,0.0,0.0,0.0,7.0,2.0,5.0,0.0,,2.0,0.0,0.0,10.0,,0.0,0.0,,3.0,,
FOOTBALL_NAL_2025_4_3_T450150G979261@T425358,2025-04-04,2025,5,NAL,Shreveport Rouxgaroux,Idaho Horsemen,,,,,,,,,,,,,,,,13.0,22.0,0.0,0.0,78.0,6.0,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,26.0,0.0,44.0,,,,23.0,37.0,0.0,2.0,46.0,2.0,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,,,,,,,,,,,,,,,,9.0,9.0,0.0,0.0,9.0,1.0,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,0.0
