game_id,date,season,week,league,away,home,def_ff,def_fr,def_tackles,fg_att,fg_made,gp,pass_att,pass_cmp,pass_yds,pat_att,pat_made,punt_no,punt_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,1.0,26.0,16.0,10.0,1.0,1.0,24.0,31.0,26.0,37.0,1417.0,1.0,11.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,1.0,17.0,6.0,12.0,2.0,1.0,2.0,24.0,20.0,61.0,2302.0,4.0,
