game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,xp_attempts,xp_made
FOOTBALL_NAL_2025_3_8_T425361G979250@T463723,2025-03-09,2025,1,NAL,Sioux City Bandits,Beaumont Renegades,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,0.0,6.0,1.0,4.0,11.0,12.0,0.0,2.0,48.0,,,,,,
FOOTBALL_NAL_2025_3_14_T425358G979254@T425361,2025-03-15,2025,2,NAL,Idaho Horsemen,Sioux City Bandits,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,10.0,2.0,3.0,9.0,15.0,0.0,2.0,49.0,,,,,,
FOOTBALL_NAL_2025_3_29_T425357G979259@T425361,2025-03-30,2025,4,NAL,Colorado Spartans,Sioux City Bandits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,8.0,15.0,0.0,0.0,49.0,6.0,2.0,11.0,9.0,0.0,2.0,21.0,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_4_19_T425361G979267@T425360,2025-04-19,2025,7,NAL,Sioux City Bandits,Omaha Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,6.0,8.0,0.0,0.0,19.0,3.0,4.0,26.0,19.0,1.0,0.0,79.0,0.0,0.0,,0.0,,
FOOTBALL_NAL_2025_4_26_T463723G979273@T425361,2025-04-27,2025,8,NAL,Beaumont Renegades,Sioux City Bandits,,,,,,,,,,,,2.0,,19.0,23.0,0.0,38.0,,,,,,5.0,5.0,0.0,0.0,5.0,1.0,4.0,13.0,12.0,0.0,2.0,46.0,,,,,,
FOOTBALL_NAL_2025_5_10_T425360G979281@T425361,2025-05-11,2025,10,NAL,Omaha Beef,Sioux City Bandits,,,,,,,,,,,,4.0,,17.0,21.0,0.0,69.0,,,,,,12.0,17.0,0.0,0.0,23.0,2.0,4.0,16.0,9.0,0.0,2.0,34.0,,,,,,
FOOTBALL_NAL_2025_5_17_T425361G979283@T425362,2025-05-17,2025,11,NAL,Sioux City Bandits,Wheeling Miners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,3.0,0.0,0.0,5.0,,,,,,
FOOTBALL_IFL_2026_3_16_TVEGASKNIGHTHAWKSG20260316CMKJ@TGREENBAYBLIZZARD,2026-03-16,2026,1,IFL,Vegas Knight Hawks,Green Bay Blizzard,0.0,,,,,,,,,,0.0,,,,,,,16.0,11.0,14.0,2.0,89.0,,,,,,,4.1,16.0,14.0,,2.0,58.0,,,1.0,1.0,,
FOOTBALL_IFL_2026_3_21_TFISHERSFREIGHTG20260321YQ5B@TGREENBAYBLIZZARD,2026-03-21,2026,2,IFL,Fishers Freight,Green Bay Blizzard,,,,,,,,,,,0.0,,0.0,,,,,20.0,8.0,35.0,3.0,141.0,,,,,,,7.2,24.0,13.0,,4.0,93.0,,,,,0.0,0.0
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,,,,,,,,,,,0.0,,,,,,,18.0,10.0,40.0,3.0,140.0,,,,,,,-0.1,10.0,7.0,,1.0,-1.0,,,,,,
FOOTBALL_IFL_2026_4_11_TGREENBAYBLIZZARDG20260411RZSM@TQUADCITYSTEAMWHEELERS,2026-04-11,2026,5,IFL,Green Bay Blizzard,Quad City Steamwheelers,0.0,,,,,,1.0,0.0,1.0,0.0,1.0,,,,,,,16.0,9.0,28.0,4.0,121.0,,,,,,,2.8,12.0,8.0,,0.0,22.0,,,0.0,0.0,,
FOOTBALL_IFL_2026_4_18_TIOWABARNSTORMERSG20260418BIFV@TGREENBAYBLIZZARD,2026-04-18,2026,6,IFL,Iowa Barnstormers,Green Bay Blizzard,,,,,,,,,,,0.0,,,,,,,14.0,9.0,45.0,3.0,153.0,,,,,,,3.0,6.0,4.0,,0.0,12.0,,,,,,
FOOTBALL_IFL_2026_4_24_TORLANDOPIRATESG20260424R5XA@TGREENBAYBLIZZARD,2026-04-24,2026,7,IFL,Orlando Pirates,Green Bay Blizzard,,,,,,,,,,,0.0,,,,,,,21.0,16.0,28.0,6.0,185.0,,,,,,,1.7,10.0,10.0,,1.0,17.0,,,,,,
