game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,6.0,1.0,6.0,1.0,9.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,2.0,,14.0,,74.0
