game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,4.0,4.0,79.0,1.0,7.0,24.0,,74.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,9.0,,,,,15.0,2.0,96.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,11.0,,,3.0,20.0,85.0,4.0,497.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,8.0,,,3.0,14.0,45.0,1.0,172.0
