game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,1.0,25.0,6.0,66.0,44.0,3.0,455.0,2.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,,,,,48.0,9.0,766.0,2.0,4.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,12.0,,,,,41.0,4.0,477.0,1.0,1.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,,,,,26.0,2.0,360.0,,
