game_id,date,season,week,league,away,home,def_solo,def_tot,misc_td,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_fr,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,,,,,1.0,1.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,,,,,,,,,,,20.0,6.0,88.0,,,,,,,
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,1.0,1.0,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,,,,,,,,2.0,2.0,1.0,12.0,51.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,,,,,,,,,,,24.0,1.0,24.0,,,,,,,
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,,,,,,,1.0,,,,37.0,7.0,171.0,,,,,,,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,,,,,,1.0,1.0,1.0,,7.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_11_TOR@MTL,2017-08-11,2017,1,CFL,TOR,MTL,,,,,,,,,,,,,19.0,1.0,19.0,,,,,,,
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,1.0,1.0,,,,,10.0,2.0,3.0,,12.0,17.0,,,,,,,,,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,,,,,13.0,2.0,4.0,,12.0,17.0,,,,,,,,,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,,,,41.0,8.0,8.0,,71.0,105.0,,,,,,,,,,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,1.0,1.0,,,,,,3.0,3.0,1.0,1.0,7.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,,,,,32.0,6.0,6.0,,51.0,79.0,,,,,,,,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,,,,,,,,,,,,,27.0,1.0,27.0,,,,,,,
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,1.0,1.0,,,,,,,3.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,,,1.0,,,,7.0,3.0,4.0,,5.0,16.0,,,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2018_7_27_TOR@WPG,2018-07-27,2018,1,CFL,TOR,WPG,2.0,2.0,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,,,,,,,50.0,2.0,4.0,,25.0,81.0,,,,,,,,,,
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,,,,,,,14.0,4.0,6.0,,26.0,47.0,25.0,2.0,41.0,,,,,,,
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,,,,,10.0,5.0,5.0,,10.0,41.0,,,,1.0,2.0,2.0,,,,
FOOTBALL_CFL_2018_9_28_TOR@CGY,2018-09-28,2018,1,CFL,TOR,CGY,,,,,,,12.0,3.0,3.0,,9.0,22.0,,,,,,,,,,
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,,,,,10.0,3.0,3.0,,4.0,21.0,,,,,,,,,,
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,,,,,,20.0,4.0,6.0,,37.0,53.0,,,,,,,,,,
