game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,completion_pct,goals,goals_minus_xg,goals_plus_assists,interceptions,key_passes,minutes_played,pass_attempts,pass_completion_pct,pass_completions,pass_long,pass_yards_per_attempt,passes_attempted,passes_over_expected,passes_over_expected_p100,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
soccer-uslc-2025-OlMlejP5Lz,,2025,1,USLC,,,2.0,0.7312,22.3628,9.9828,,1.0,-0.7317,3.0,,9.0,1704.0,,0.7216,,,,758.0,-2.5004,-0.3299,,,,,,,0.0025,11.0,5.0,1.2688,1.7317,-0.6001,3.0005,0.7249,0.5194
soccer-uslc-2026-OlMlejP5Lz,,2026,1,USLC,,,0.0,0.0,21.7142,11.5892,,0.0,-0.6265,0.0,,0.0,49.0,,0.5926,,,,27.0,-1.5118,-5.5994,,,,,,,0.0,1.0,0.0,0.0,0.6265,-0.6265,0.6265,0.6486,0.6175
FOOTBALL_AF1_2026_4_17_T606163G1168206@T584637,2026-04-18,2026,2,AF1,Michigan Arsenal,Nashville Kats,,,,,667.0,,,,0.0,,,3.0,,2.0,29.0,21.0,,,,0.0,149.0,0.0,1.0,42.0,0.0,,,,,,,,,
FOOTBALL_AF1_2026_5_9_T584638G1168218@T584637,2026-05-09,2026,5,AF1,Oregon Lightning,Nashville Kats,,,,,667.0,,,,0.0,,,3.0,,2.0,13.0,10.0,,,,0.0,125.0,0.0,2.0,20.0,0.0,,,,,,,,,
