game_id,date,season,week,league,away,home,def_tackles,fg_att,fg_made,gp,pat_att,pat_made,punt_no,punt_yds,rush_att
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,8.0,3.0,10.0,17.0,6.0,,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,5.0,26.0,18.0,12.0,29.0,17.0,26.0,937.0,1.0
