game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,blocks,drops,goals,goals_minus_xg,goals_plus_assists,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,throwaways,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added,yardsReceived,yardsThrown
soccer-mls-2024-a2lqR4JMr0,,2024,1,MLS,,,0.0,-0.084,15.6227,-1.8056,,,0.0,0.0,0.0,2.0,24.0,0.9167,12.0,0.2331,1.9423,0.0,0.0,0.0,,0.084,0.0,0.0,0.084,0.8972,0.0,,
soccer-mlsnp-2024-BLMv6m3Mxe,,2024,1,MLSNP,,,1.0,-1.9479,19.8803,2.7059,,,4.0,-0.475,5.0,28.0,1478.0,0.7698,430.0,-7.3309,-1.7049,1.7713,38.0,9.0,,2.9479,4.475,-0.5546,7.423,0.7868,2.22,,
soccer-uslc-2024-e7MzZbKMr0,,2024,1,USLC,,,0.0,-0.2713,17.7421,1.7067,,,0.0,-0.3154,0.0,1.0,238.0,0.6765,34.0,-1.4162,-4.1652,0.0,4.0,3.0,,0.2713,0.3154,0.181,0.5867,0.7181,0.247,,
2024-05-04-CHI-DET,2024-05-04,2024,2,UFA,union,mechanix,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0
2024-05-11-DET-IND,2024-05-11,2024,3,UFA,mechanix,alleycats,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0
2024-05-18-MAD-DET,2024-05-18,2024,4,UFA,radicals,mechanix,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,1.0,,,,,,,-10.0,70.0
2024-05-24-DET-PIT,2024-05-24,2024,5,UFA,mechanix,thunderbirds,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0
2024-06-02-DET-MAD,2024-06-02,2024,6,UFA,mechanix,radicals,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0
2024-06-08-MAD-DET,2024-06-08,2024,7,UFA,radicals,mechanix,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0
2024-06-15-DET-IND,2024-06-15,2024,8,UFA,mechanix,alleycats,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0
2024-06-22-PIT-DET,2024-06-22,2024,9,UFA,thunderbirds,mechanix,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0
2024-06-29-MIN-DET,2024-06-29,2024,10,UFA,windchill,mechanix,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0
2024-07-13-IND-DET,2024-07-13,2024,12,UFA,alleycats,mechanix,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0
2024-07-20-DET-MIN,2024-07-20,2024,13,UFA,mechanix,windchill,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,22.0,21.0
2024-07-21-DET-CHI,2024-07-21,2024,13,UFA,mechanix,union,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,0.0
soccer-mlsnp-2025-BLMv6m3Mxe,,2025,1,MLSNP,,,1.0,0.7466,20.5567,3.6241,,,0.0,-0.3339,1.0,3.0,102.0,0.7429,35.0,-2.7942,-7.9836,0.0,4.0,1.0,,0.2534,0.3339,-0.2896,0.5873,0.8227,0.3109,,
