game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,sacks,safeties,tackles
FOOTBALL_NAL_2025_3_10_T425357G979251@T425362,2025-03-10,2025,1,NAL,Colorado Spartans,Wheeling Miners,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1.0
FOOTBALL_NAL_2025_3_15_T425357G979252@T425360,2025-03-15,2025,2,NAL,Colorado Spartans,Omaha Beef,,,,,,,,,,,,,10.0,11.0,0.0,0.0,19.0,2.0,,,
FOOTBALL_NAL_2025_3_29_T425357G979259@T425361,2025-03-30,2025,4,NAL,Colorado Spartans,Sioux City Bandits,,,,,,,,,,,,,10.0,24.0,0.0,1.0,41.0,4.0,,,
FOOTBALL_NAL_2025_4_19_T425358G979269@T425357,2025-04-20,2025,7,NAL,Idaho Horsemen,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20.0,29.0,0.0,1.0,39.0,2.0,0.0,0.0,1.0
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,,,,,,,,,,,,,8.0,8.0,0.0,0.0,8.0,1.0,,,
FOOTBALL_NAL_2025_5_3_T425362G979277@T425357,2025-05-04,2025,9,NAL,Wheeling Miners,Colorado Spartans,,,,,,,,,,,,,8.0,11.0,0.0,0.0,39.0,5.0,,,
FOOTBALL_NAL_2025_5_15_T425357G979285@T425358,2025-05-16,2025,11,NAL,Colorado Spartans,Idaho Horsemen,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,16.0,36.0,0.0,3.0,96.0,6.0,0.0,0.0,0.0
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,,,,,,,,1.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,28.0,5.0,,,
FOOTBALL_NAL_2026_3_14_T570667G1127141@T581933,2026-03-15,2026,2,NAL,Colorado Spartans,Dallas Bulls,,,,,,,,,,,,,14.0,21.0,0.0,0.0,56.0,4.0,,,
FOOTBALL_NAL_2026_3_28_T570667G1127147@T600411,2026-03-28,2026,4,NAL,Colorado Spartans,Salina Liberty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,11.0,18.0,0.0,2.0,74.0,7.0,0.0,0.0,1.0
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,,,,,,,,,,,,,11.0,16.0,0.0,2.0,84.0,8.0,,,
FOOTBALL_NAL_2026_4_11_T566773G1127154@T570667,2026-04-12,2026,6,NAL,Amarillo Warbirds,Colorado Spartans,,,,,,,,,,,,,7.0,0.0,0.0,3.0,29.0,4.0,,,
FOOTBALL_NAL_2026_4_18_T566774G1127156@T570667,2026-04-19,2026,7,NAL,Omaha Beef,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,15.0,30.0,0.0,1.0,116.0,8.0,0.0,0.0,1.0
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,9.0,15.0,1.0,2.0,55.0,6.0,0.0,0.0,1.0
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20.0,0.0,0.0,4.0,79.0,4.0,0.0,0.0,1.0
