game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202505180CON,2025-05-18,2025,1,WNBA,WAS,CON,,,,1.0,1.0,1.0,3.0,,,,6.666666666666667,,-7.0,2.0,,1.0,2.0
WNBA_202505200CON,2025-05-20,2025,1,WNBA,LVA,CON,1.0,,3.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,12.85,,4.0,3.0,3.0,1.0,1.0
WNBA_202505250ATL,2025-05-25,2025,1,WNBA,CON,ATL,1.0,,1.0,0.667,3.0,2.0,3.0,1.0,1.0,1.0,11.316666666666666,1.0,-1.0,5.0,2.0,,1.0
WNBA_202505270CON,2025-05-27,2025,1,WNBA,DAL,CON,,,,,,,1.0,0.75,4.0,3.0,6.066666666666666,,1.0,3.0,,,
WNBA_202506010NYL,2025-06-01,2025,1,WNBA,CON,NYL,,,,,1.0,,2.0,,,,4.716666666666667,,-2.0,,,,2.0
WNBA_202506060CON,2025-06-06,2025,1,WNBA,ATL,CON,,,1.0,0.5,2.0,1.0,2.0,1.0,2.0,2.0,6.766666666666667,,6.0,4.0,1.0,1.0,
WNBA_202506080WAS,2025-06-08,2025,1,WNBA,CON,WAS,1.0,,2.0,,,,1.0,0.667,3.0,2.0,14.716666666666667,,-8.0,2.0,2.0,1.0,2.0
WNBA_202506150CON,2025-06-15,2025,1,WNBA,CHI,CON,2.0,,1.0,0.5,2.0,1.0,2.0,,,,17.8,2.0,-10.0,2.0,3.0,,1.0
WNBA_202506170IND,2025-06-17,2025,1,WNBA,CON,IND,,,,,1.0,,1.0,1.0,2.0,2.0,5.366666666666666,,1.0,2.0,,,
WNBA_202506180CON,2025-06-18,2025,1,WNBA,PHO,CON,,,2.0,0.333,3.0,1.0,,,,,7.05,,3.0,2.0,2.0,1.0,
WNBA_202506250LVA,2025-06-25,2025,1,WNBA,CON,LVA,,,,,,,,,,,1.45,,-4.0,,,,
WNBA_202506270SEA,2025-06-27,2025,1,WNBA,CON,SEA,,1.0,,,,,2.0,,,,4.25,,-6.0,,,1.0,1.0
WNBA_202506290MIN,2025-06-29,2025,1,WNBA,CON,MIN,,,,,,,1.0,,,,4.4,,-8.0,,,,2.0
