game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,interceptions,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_tds,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,,667.0,2.0,21.0,14.0,7.0,36.0,11.0,88.0,2.0,3.0,143.0,,152.0,9.0,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,
FOOTBALL_NAL_2025_3_28_T434514G979258@T425356,2025-03-28,2025,4,NAL,Columbus Lions,Carolina Cobras,,500.0,3.0,12.0,6.0,6.0,0.0,25.0,84.0,0.0,1.0,83.0,,152.0,0.0,,,,,,1.0,0.0,1.0,0.0,1.0,1.0,,,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,,480.0,0.0,25.0,12.0,13.0,15.0,10.0,90.0,1.0,2.0,80.0,,125.0,2.0,,,,,,3.0,5.0,3.0,0.0,0.0,9.0,,,,
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,40.0,1.0,0.0,0.0,,0.0,5.0,,,,,,2.0,6.0,3.0,4.0,0.0,5.0,,,,
FOOTBALL_IFL_2026_5_24_TARIZONARATTLERSG2026052419QZ@TVEGASKNIGHTHAWKS,2026-05-24,2026,,IFL,Arizona Rattlers,Vegas Knight Hawks,,,,,,,,,,,,,,,,4.0,8.0,0.0,8.0,2.0,,,,,,,,,,
FOOTBALL_IFL_2026_3_28_TSANDIEGOSTRIKEFORCEG20260328BGUR@TARIZONARATTLERS,2026-03-28,2026,3,IFL,San Diego Strike Force,Arizona Rattlers,1.0,,,,,,,,,,,,,,,16.7,31.0,1.0,50.0,3.0,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,,,,,,,,,,,,,,,,9.0,9.0,0.0,9.0,1.0,,,,,,,,,,
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,,,,,,,,,,,,,,,,16.5,26.0,2.0,33.0,2.0,0.0,0.0,1.0,,0.0,0.0,,,,
FOOTBALL_IFL_2026_4_19_TARIZONARATTLERSG20260419RLTY@TNAZWRANGLERS,2026-04-19,2026,6,IFL,Arizona Rattlers,NAZ Wranglers,,,,,,,,,,,,,,,,8.0,8.0,1.0,8.0,1.0,17.0,31.0,2.0,,1.0,34.0,,,,
FOOTBALL_IFL_2026_4_25_TTULSAOILERSG20260425FEQM@TARIZONARATTLERS,2026-04-25,2026,7,IFL,Tulsa Oilers,Arizona Rattlers,,,,,,,,,,,,,,,,10.3,16.0,1.0,62.0,6.0,,,,,,,,,,
