game_id,date,season,week,league,away,home,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,1.5,12.0,11.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,6.0,11.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,3.0,7.0
