game_id,date,season,week,league,away,home,3pt_pass,interceptions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_PHI,,2022,1,USFL,,,,1.0,,1.0,202.0,,0.0
SYNTHETIC_USFL_2022_W2_PHI,,2022,2,USFL,,,1.0,,1.0,3.0,,,16.0
SYNTHETIC_USFL_2022_W3_PHI,,2022,3,USFL,,,,,0.0,2.0,,0.0,1.0
SYNTHETIC_USFL_2022_W4_PHI,,2022,4,USFL,,,,,1.0,2.0,190.0,0.0,35.0
SYNTHETIC_USFL_2022_W5_PHI,,2022,5,USFL,,,,,0.0,0.0,215.0,0.0,0.0
SYNTHETIC_USFL_2022_W6_PHI,,2022,6,USFL,,,,,0.0,2.0,73.0,0.0,18.0
SYNTHETIC_USFL_2022_W7_PHI,,2022,7,USFL,,,,,2.0,1.0,163.0,0.0,28.0
SYNTHETIC_USFL_2022_W8_PHI,,2022,8,USFL,,,,,0.0,4.0,247.0,1.0,116.0
SYNTHETIC_USFL_2022_W9_PHI,,2022,9,USFL,,,,,1.0,0.0,131.0,0.0,-13.0
SYNTHETIC_USFL_2022_W10_PHI,,2022,10,USFL,,,,,1.0,2.0,244.0,0.0,33.0
SYNTHETIC_USFL_2022_W11_PHI,,2022,11,USFL,,,,,1.0,0.0,182.0,1.0,39.0
