game_id,date,season,week,league,away,home,passing_tds,passing_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_50YARD_2026_W2_ARIZONARATTLERS,2026-05-10,2026,2,50YARD,Tucson Sugar Skulls,Arizona Rattlers,2.0,171.0,,4.0,82.0
SYNTHETIC_50YARD_2026_W3_ARIZONARATTLERS,2026-05-18,2026,3,50YARD,ARIZONA RATTLERS,NEW MEXICO CHUPACABRAS,2.0,143.0,1.0,1.0,45.0
