game_id,date,season,week,league,away,home,assists,blocks,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,1.0,2.0,3.0,,4.0,4.0,2.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,,1.0,,4.0,1.0,2.0,
