game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,interceptions,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_NAL_2025_3_10_T425357G979251@T425362,2025-03-10,2025,1,NAL,Colorado Spartans,Wheeling Miners,,567.0,1.0,30.0,17.0,13.0,0.0,11.0,95.0,2.0,3.0,100.0,189.0,0.0,,,,,,3.0,0.0,16.0,0.0,4.0,42.0,,
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,,591.0,3.0,22.0,13.0,9.0,19.0,9.0,48.0,0.0,1.0,45.0,111.0,0.0,,,,,,1.0,8.0,14.0,0.0,0.0,16.0,,
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,,538.0,1.0,26.0,14.0,12.0,0.0,7.0,72.0,0.0,2.0,77.0,98.0,0.0,,,,,,7.0,0.0,6.0,0.0,3.0,43.0,,
FOOTBALL_NAL_2025_4_19_T425356G979270@T425362,2025-04-19,2025,7,NAL,Carolina Cobras,Wheeling Miners,,680.0,0.0,25.0,17.0,8.0,0.0,11.0,129.0,0.0,3.0,120.0,183.0,0.0,,,,,,6.0,0.0,4.0,0.0,2.0,25.0,,
FOOTBALL_NAL_2025_5_3_T425362G979277@T425357,2025-05-04,2025,9,NAL,Wheeling Miners,Colorado Spartans,,444.0,2.0,18.0,8.0,10.0,30.0,14.0,45.0,2.0,1.0,56.0,115.0,17.0,,,,,,3.0,6.0,9.0,0.0,2.0,30.0,,
FOOTBALL_IFL_2026_5_24_TNEWMEXICOCHUPACABRASG20260524HN6I@TORLANDOPIRATES,2026-05-24,2026,,IFL,New Mexico Chupacabras,Orlando Pirates,,,,,,,,,,,,,,,13.5,21.0,0.0,27.0,2.0,1.0,1.0,1.0,,0.0,1.0,,
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,,,,,,,,,,,,,,,11.5,15.0,1.0,46.0,4.0,,,,,,,,
FOOTBALL_IFL_2026_4_5_TQUADCITYSTEAMWHEELERSG20260405ZTCZ@TORLANDOPIRATES,2026-04-05,2026,4,IFL,Quad City Steamwheelers,Orlando Pirates,0.0,,,,,,,,,,,,,,10.0,14.0,1.0,50.0,5.0,,,,,,,1.0,1.0
FOOTBALL_IFL_2026_4_12_TTULSAOILERSG20260412T2GX@TORLANDOPIRATES,2026-04-12,2026,5,IFL,Tulsa Oilers,Orlando Pirates,,,,,,,,,,,,,,,11.8,22.0,4.0,71.0,6.0,2.5,3.0,2.0,,0.0,5.0,,
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,,,,,,,,,,,,,,,10.6,50.0,1.0,74.0,7.0,7.0,8.0,2.0,,0.0,14.0,,
FOOTBALL_IFL_2026_4_24_TORLANDOPIRATESG20260424R5XA@TGREENBAYBLIZZARD,2026-04-24,2026,7,IFL,Orlando Pirates,Green Bay Blizzard,,,,,,,,,,,,,,,13.7,36.0,2.0,82.0,6.0,7.0,12.0,2.0,,0.0,14.0,,
FOOTBALL_IFL_2026_5_18_TVEGASKNIGHTHAWKSG20260518L91R@TORLANDOPIRATES,2026-05-18,2026,10,IFL,Vegas Knight Hawks,Orlando Pirates,,,,,,,,,,,,,,,13.8,20.0,1.0,55.0,4.0,,,,,,,,
FOOTBALL_IFL_2026_5_30_TORLANDOPIRATESG20260530J4E8@TTUCSONSUGARSKULLS,2026-05-30,2026,12,IFL,Orlando Pirates,Tucson Sugar Skulls,,,,,,,,,,,,,,,6.7,11.0,0.0,20.0,3.0,4.0,4.0,1.0,,1.0,4.0,,
FOOTBALL_IFL_2026_6_6_TIOWABARNSTORMERSG202606060Q8D@TORLANDOPIRATES,2026-06-06,2026,13,IFL,Iowa Barnstormers,Orlando Pirates,,,,,,,,,,,,,,,2.5,6.0,1.0,5.0,2.0,9.0,9.0,1.0,,0.0,9.0,,
FOOTBALL_IFL_2026_6_13_TORLANDOPIRATESG202606136M0I@TTULSAOILERS,2026-06-13,2026,14,IFL,Orlando Pirates,Tulsa Oilers,,,,,,,,,,,,,,,10.0,14.0,1.0,30.0,3.0,-1.0,0.0,1.0,,0.0,-1.0,,
FOOTBALL_IFL_2026_6_21_TJACKSONVILLESHARKSG202606212HO4@TORLANDOPIRATES,2026-06-21,2026,15,IFL,Jacksonville Sharks,Orlando Pirates,,,,,,,,,,,,,,,5.5,10.0,0.0,22.0,4.0,,,,,,,,
FOOTBALL_IFL_2026_6_28_TORLANDOPIRATESG20260628EGZ4@TQUADCITYSTEAMWHEELERS,2026-06-28,2026,16,IFL,Orlando Pirates,Quad City Steamwheelers,,,,,,,,,,,,,,,7.0,7.0,1.0,7.0,1.0,3.5,8.0,2.0,,1.0,7.0,,
FOOTBALL_IFL_2026_7_5_TGREENBAYBLIZZARDG20260705T6X5@TORLANDOPIRATES,2026-07-05,2026,17,IFL,Green Bay Blizzard,Orlando Pirates,,,,,,,,,,,,,,,11.1,20.0,2.0,78.0,7.0,1.0,1.0,1.0,,0.0,1.0,,
FOOTBALL_IFL_2026_7_11_TORLANDOPIRATESG20260711VSBZ@TSANANTONIOGUNSLINGERS,2026-07-11,2026,18,IFL,Orlando Pirates,San Antonio Gunslingers,,,,,,,,,,,,,,,7.0,10.0,1.0,28.0,4.0,,,,,,,,
FOOTBALL_IFL_2026_7_26_TORLANDOPIRATESG20260726LXNH@TFISHERSFREIGHT,2026-07-26,2026,20,IFL,Orlando Pirates,Fishers Freight,,,,,,,,,,,,,,,9.8,14.0,1.0,49.0,5.0,,,,,,,,
