game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2021_10_11_TOR@HAM,2021-10-11,2021,1,CFL,TOR,HAM,,,17.0,4.0,5.0,,31.0,41.0,,,,7.0,4.0,,7.0,,,,
FOOTBALL_CFL_2021_10_22_TOR@MTL,2021-10-22,2021,1,CFL,TOR,MTL,1.0,1.0,10.0,4.0,4.0,,18.0,18.0,,,,3.0,2.0,,5.0,,,,
FOOTBALL_CFL_2021_10_30_BC@TOR,2021-10-30,2021,1,CFL,BC,TOR,,,12.0,3.0,4.0,,25.0,26.0,,,,9.0,18.0,,65.0,,,,
FOOTBALL_CFL_2021_10_6_OTT@TOR,2021-10-06,2021,1,CFL,OTT,TOR,1.0,1.0,,5.0,6.0,1.0,74.0,79.0,,,,18.0,12.0,,65.0,1.0,6.0,,1.0
FOOTBALL_CFL_2021_11_12_HAM@TOR,2021-11-12,2021,1,CFL,HAM,TOR,,,8.0,3.0,3.0,,21.0,21.0,,,,18.0,7.0,,47.0,,,,
FOOTBALL_CFL_2021_12_5_HAM@TOR,2021-12-05,2021,1,CFL,HAM,TOR,,,24.0,3.0,5.0,,35.0,57.0,,,,11.0,11.0,,38.0,,,,
FOOTBALL_CFL_2021_8_21_WPG@TOR,2021-08-21,2021,1,CFL,WPG,TOR,,,14.0,1.0,1.0,,14.0,14.0,22.0,1.0,22.0,10.0,39.0,1.0,101.0,,6.0,1.0,1.0
FOOTBALL_CFL_2021_9_10_HAM@TOR,2021-09-10,2021,1,CFL,HAM,TOR,,,,3.0,4.0,1.0,55.0,63.0,,,,3.0,1.0,,1.0,1.0,6.0,,1.0
FOOTBALL_CFL_2021_9_17_TOR@SSK,2021-09-17,2021,1,CFL,TOR,SSK,,,9.0,4.0,4.0,,15.0,17.0,21.0,1.0,21.0,3.0,5.0,,12.0,,,,
FOOTBALL_CFL_2021_9_24_MTL@TOR,2021-09-24,2021,1,CFL,MTL,TOR,,,-1.0,1.0,2.0,,-1.0,-1.0,,,,8.0,9.0,1.0,15.0,,6.0,1.0,1.0
FOOTBALL_CFL_2021_9_6_TOR@HAM,2021-09-06,2021,1,CFL,TOR,HAM,,,12.0,5.0,7.0,,32.0,38.0,,,,3.0,9.0,,14.0,,,,
