game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,fielding_runouts,match_played
cricket-t20i-2025-05-10-1483070,2025-05-10,2025,1,T20I,Germany,Greece,4.0,0.0,0.0,10.0,0.0,0.0,,1.0
cricket-t20i-2025-05-10-1483071,2025-05-10,2025,1,T20I,Germany,Greece,13.0,0.0,0.0,7.0,2.0,0.0,,1.0
cricket-t20i-2025-05-11-1483073,2025-05-11,2025,1,T20I,Greece,Germany,11.0,0.0,0.0,9.0,3.0,0.0,,1.0
cricket-t20i-2025-07-07-1490854,2025-07-07,2025,1,T20I,Turkey,Greece,6.0,1.0,1.0,11.0,7.0,0.0,,1.0
cricket-t20i-2025-07-09-1490861,2025-07-09,2025,1,T20I,Turkey,Greece,2.0,0.0,1.0,9.0,2.0,0.0,,1.0
cricket-t20i-2026-04-03-1529780,2026-04-03,2026,1,T20I,Cyprus,Greece,1.0,0.0,0.0,8.0,0.0,0.0,,1.0
cricket-t20i-2026-04-03-1529781,2026-04-03,2026,1,T20I,Cyprus,Greece,4.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0
cricket-t20i-2026-04-04-1529782,2026-04-04,2026,1,T20I,Cyprus,Greece,12.0,0.0,0.0,8.0,1.0,0.0,,1.0
cricket-t20i-2026-04-05-1529784,2026-04-05,2026,1,T20I,Cyprus,Greece,1.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0
cricket-t20i-2026-05-10-1534068,2026-05-10,2026,1,T20I,Greece,Denmark,24.0,0.0,0.0,9.0,11.0,0.0,,1.0
