game_id,date,season,week,league,away,home,1pt_conversion,assist_tackles,completions,conversions,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,lost_fumbles,pass_attempts,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,,,19.0,,,,,,,,,,,0.0,,,33.0,0.0,252.0,,,,6.0,0.0,12.0,
FOOTBALL_AAF_2019_2_16_SL@BIR,2019-02-16,2019,2,AAF,SL,BIR,,,24.0,,0.0,0.0,1.0,1.0,0.0,,,,,0.0,,,38.0,0.0,184.0,,,,1.0,0.0,4.0,
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,,,17.0,,,,,,,,,,,1.0,,,31.0,0.0,160.0,,,,2.0,0.0,-3.0,
FOOTBALL_AAF_2019_3_3_SA@BIR,2019-03-03,2019,4,AAF,SA,BIR,,0.0,19.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,39.0,0.0,202.0,,,,2.0,0.0,3.0,1.0
FOOTBALL_AAF_2019_3_9_ORL@BIR,2019-03-09,2019,5,AAF,ORL,BIR,,,3.0,,,,,,,,,,,1.0,,,7.0,0.0,4.0,,,,1.0,0.0,5.0,
FOOTBALL_AAF_2019_3_17_BIR@SD,2019-03-17,2019,6,AAF,BIR,SD,,,27.0,,,,,,,,,,,2.0,,,49.0,3.0,359.0,,,,4.0,0.0,28.0,
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,,,16.0,,,,,,,,,,,0.0,,,37.0,2.0,235.0,,,,7.0,0.0,27.0,
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,,,10.0,,,,,,,,,,,0.0,,,24.0,0.0,65.0,,,,1.0,0.0,-1.0,
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,,,4.0,,,,,,,,,,,,,,5.0,1.0,39.0,,,,,,,
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,,,18.0,,,,,,,,,,,,,,26.0,1.0,150.0,,,,2.0,,2.0,
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,,,16.0,,,,,,,,,,,1.0,,,30.0,1.0,229.0,,,,2.0,,18.0,
SYNTHETIC_USFL_2022_W1_NJ,,2022,1,USFL,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,
SYNTHETIC_USFL_2022_W2_NJ,,2022,2,USFL,,,,,,,,,,,,,,,,1.0,,,,0.0,97.0,,,,,,,
SYNTHETIC_USFL_2022_W3_NJ,,2022,3,USFL,,,,,,,,,,,,,,,,0.0,,,,0.0,75.0,,,,,,,
SYNTHETIC_USFL_2022_W4_NJ,,2022,4,USFL,,,,,,,,,,,,,,,,0.0,,,,0.0,102.0,,,,,,,
SYNTHETIC_USFL_2022_W6_NJ,,2022,6,USFL,,,,,,,,,,,,,,,,0.0,,2.0,,1.0,159.0,0.0,14.0,1.0,,1.0,-1.0,
SYNTHETIC_USFL_2022_W7_NJ,,2022,7,USFL,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,-3.0,
SYNTHETIC_USFL_2022_W8_NJ,,2022,8,USFL,,,,,,0.0,,,,,,,,,,0.0,,0.0,,1.0,220.0,,,,,0.0,-4.0,
SYNTHETIC_USFL_2022_W9_NJ,,2022,9,USFL,,,,,,,,,,,,,,,,0.0,,,,1.0,92.0,,,,,,,
