game_id,date,season,week,league,away,home,def_tackles,gp,punt_no,punt_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,10.0,,,30.0,3.0,413.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,12.0,,,41.0,3.0,480.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,10.0,1.0,46.0,9.0,3.0,105.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,10.0,,,17.0,3.0,184.0
