game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,67.0,18.0,23.0,4.0,90.0,29.0,2.0,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,52.0,18.0,27.0,,79.0,12.0,4.0,1.0
