game_id,date,season,week,league,away,home,assist_tackles,def_solo,def_tot,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,misc_forced,misc_fum,misc_lost,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yds,score_conv,score_pts,solo_tackles,targets
FOOTBALL_AAF_2019_2_10_SL@ARI,2019-02-10,2019,1,AAF,SL,ARI,,,,,,,,,,,,,,,,,0.0,17.0,2.0,,,,,,,,2.0
FOOTBALL_CFL_2019_2_10_SL@ARI,2019-02-10,2019,1,CFL,SL,ARI,,,,,,,,,,,,,,,,,,,,11.0,2.0,2.0,17.0,,,,
FOOTBALL_CFL_2019_2_23_ARI@SL,2019-02-23,2019,1,CFL,ARI,SL,,,,,,,,,,,,,,,,,,,,17.0,3.0,8.0,40.0,,,,
FOOTBALL_CFL_2019_3_10_SA@ARI,2019-03-10,2019,1,CFL,SA,ARI,,3.0,3.0,,,,,,,,,,,1.0,1.0,1.0,,,,22.0,3.0,6.0,49.0,,,,
FOOTBALL_CFL_2019_3_16_ARI@ORL,2019-03-16,2019,1,CFL,ARI,ORL,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,
FOOTBALL_CFL_2019_3_24_SD@ARI,2019-03-24,2019,1,CFL,SD,ARI,,,,,,,,,,,,,,,,,,,,14.0,3.0,3.0,42.0,1.0,2.0,,
FOOTBALL_CFL_2019_3_31_ARI@SA,2019-03-31,2019,1,CFL,ARI,SA,,,,,,,,,,,,,,,,,,,,10.0,1.0,1.0,10.0,,,,
FOOTBALL_CFL_2019_3_3_ATL@ARI,2019-03-03,2019,1,CFL,ATL,ARI,,,,,,,,,,,,,,,,,,,,20.0,1.0,3.0,20.0,1.0,2.0,,
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,,,,,,,,,,,,,,,,,0.0,40.0,3.0,,,,,,,,8.0
FOOTBALL_AAF_2019_3_3_ATL@ARI,2019-03-03,2019,4,AAF,ATL,ARI,,,,,,,,,,,,,,,,,0.0,20.0,1.0,,,,,,,,3.0
FOOTBALL_AAF_2019_3_10_SA@ARI,2019-03-10,2019,5,AAF,SA,ARI,0.0,,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,49.0,3.0,,,,,,,3.0,6.0
FOOTBALL_AAF_2019_3_16_ARI@ORL,2019-03-16,2019,6,AAF,ARI,ORL,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,2.0
FOOTBALL_AAF_2019_3_24_SD@ARI,2019-03-24,2019,7,AAF,SD,ARI,,,,,,,,,,,,,,,,,0.0,42.0,3.0,,,,,,,,3.0
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,,,,,,,,,,,,,,,,,0.0,10.0,1.0,,,,,,,,1.0
