game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,,0.0,18.0,3.0,1.0,115.0
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,,0.0,11.0,1.0,0.0,13.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,,0.0,-3.0,1.0,0.0,6.0
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,,,0.0,1.0,1.0,0.0,1.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,,,,,0.0,4.0
62,2025-05-02,2025,6,UFL,BATTLEHAWKS,RENEGADES,,,,,,,0.0,2.0
68,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,1.0,,,0.0,6.0,1.0,0.0,20.0
70,2025-05-17,2025,8,UFL,BATTLEHAWKS,STALLIONS,,,1.0,,,,0.0,1.0
72,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,,,,0.0,9.0,1.0,1.0,60.0
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,1.0,,,,,,1.0,89.0
88,2026-03-28,2026,1,UFL,DC DEFENDERS,ST. LOUIS BATTLEHAWKS,,,,0.0,24.0,4.0,0.0,45.0
94,2026-04-07,2026,2,UFL,ST. LOUIS BATTLEHAWKS,DALLAS RENEGADES,,,,0.0,28.0,5.0,0.0,15.0
98,2026-04-12,2026,3,UFL,BIRMINGHAM STALLIONS,ST. LOUIS BATTLEHAWKS,,,,,,,0.0,35.0
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,,,,0.0,11.0,1.0,0.0,85.0
104,2026-04-25,2026,5,UFL,ST. LOUIS BATTLEHAWKS,ORLANDO STORM,,,,0.0,1.0,1.0,0.0,59.0
107,2026-04-30,2026,6,UFL,ST. LOUIS BATTLEHAWKS,LOUISVILLE KINGS,,,,0.0,28.0,2.0,0.0,56.0
111,2026-05-08,2026,7,UFL,COLUMBUS AVIATORS,ST. LOUIS BATTLEHAWKS,,,,0.0,21.0,3.0,0.0,59.0
117,2026-05-16,2026,8,UFL,HOUSTON GAMBLERS,ST. LOUIS BATTLEHAWKS,,,,0.0,0.0,0.0,0.0,31.0
122,2026-05-24,2026,9,UFL,ST. LOUIS BATTLEHAWKS,HOUSTON GAMBLERS,,1.0,,0.0,6.0,3.0,0.0,55.0
