game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,pass_defended,sacks,tackles
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,,,,,,1.0,,2.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,GUARDIANS,BRAHMAS,,,,,,,,,,1.0,8.0
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,RENEGADES,GUARDIANS,,,,,,,,,,,7.0
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,,,,,,,,,,,3.0
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,,,,,,,,6.0
FOOTBALL_AF1_2026_4_12_T606163G1168202@T584747,2026-04-12,2026,1,AF1,Michigan Arsenal,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0
FOOTBALL_AF1_2026_4_19_T612138G1168205@T584747,2026-04-19,2026,2,AF1,Oceanside Bombers,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0
FOOTBALL_AF1_2026_5_3_T584637G1168212@T584747,2026-05-03,2026,4,AF1,Nashville Kats,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0
FOOTBALL_AF1_2026_5_9_T584747G1168215@T584635,2026-05-09,2026,5,AF1,Kentucky Barrels,Albany Firebirds,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0
FOOTBALL_AF1_2026_5_17_T584761G1168220@T584747,2026-05-17,2026,6,AF1,Beaumont Renegades,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0
