game_id,date,season,week,league,away,home,field_goal_yards,interceptions_lost,passing_tds,passing_yards,patkick,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards
SALINA-CORPUS,,,1,,,,,,,,,,,,,1.0,21.0,1.0,,,,,,,
4002611142239,,,4,,,,0.0,0.0,4.0,288.0,0.0,,,,,0.0,56.0,5.0,,,,,,0.0,0.0
TRITONS-LIBERTY-0328,2025-03-28,2025,3,AF1,SALINA,CORPUS CHRISTI,,,,,,,,,,1.0,12.0,2.0,,,,,,,
CORPUSCHRISTI-WASHINGTON-0413,2025-04-13,2025,5,AF1,CORPUS CHRISTI,WASHINGTON,,,,,,,,,,4.0,66.0,6.0,,,,,,,
CORPUSCHRISTI-SWKANSAS-0419,2025-04-19,2025,6,AF1,SW KANSAS,CORPUS CHRISTI,,,,,,,,,,,11.0,1.0,,,,,,,
CORPUSCHRISTI-ALBANY-0524,2025-05-24,2025,11,AF1,ALBANY,CORPUS CHRISTI,,,,,,,,,,3.0,85.0,12.0,,,,,,,
CORPUSCHRISTI-OREGON-0608,2025-06-08,2025,13,AF1,OREGON,CORPUS CHRISTI,,,,,,,,,,1.0,98.0,8.0,,,,,,,
CORPUSCHRISTI-NASHVILLE-0614,2025-06-14,2025,14,AF1,NASHVILLE,CORPUS CHRISTI,,,,,,,,,,0.0,27.0,1.0,,,,,,,
FOOTBALL_AF1_2026_4_12_T584638G1168203@T584641,2026-04-12,2026,1,AF1,Oregon Lightning,Washington Wolfpack,,,,,,4.0,13.0,0.0,0.0,0.0,16.0,4.0,,,,,,,
FOOTBALL_AF1_2026_4_25_T584641G1168210@T584637,2026-04-25,2026,3,AF1,Washington Wolfpack,Nashville Kats,,,,,,3.0,10.0,0.0,0.0,0.0,16.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0
FOOTBALL_AF1_2026_5_2_T584635G1168211@T584641,2026-05-02,2026,4,AF1,Albany Firebirds,Washington Wolfpack,,,,,,6.0,11.0,0.0,1.0,1.0,58.0,10.0,,,,,,,
FOOTBALL_AF1_2026_5_9_T584641G1168216@T584761,2026-05-09,2026,5,AF1,Washington Wolfpack,Beaumont Renegades,,,,,,7.0,14.0,0.0,0.0,2.0,59.0,9.0,21.0,21.0,0.0,1.0,0.0,0.0,21.0
FOOTBALL_AF1_2026_5_16_T584641G1168222@T584638,2026-05-17,2026,6,AF1,Washington Wolfpack,Oregon Lightning,,,,,,11.0,19.0,0.0,0.0,0.0,56.0,5.0,,,,,,,
