game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,8.0,15.0,1.0,134.0,75.0,8.0,2.0,422.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,13.0,26.0,,194.0,164.0,13.0,7.0,869.0
