game_id,date,season,week,league,away,home,blocked_punt,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_2023_W1_STARS,2023-04-15,2023,1,USFL,SHOWBOATS,STARS,,,,1.0,23.0,
SYNTHETIC_USFL_2023_W5_STARS,2023-05-14,2023,5,USFL,STARS,GENERALS,,,3.0,1.0,21.0,0.0
SYNTHETIC_USFL_2023_W8_STARS,2023-06-03,2023,8,USFL,STALLIONS,STARS,,,2.0,0.0,27.0,2.0
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,,0.0,31.0,2.0
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,,,2.0,24.0,0.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,1.0,0.0,21.0,5.0
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,1.0,,1.0,0.0,41.0,1.0
66,2025-05-10,2025,7,UFL,RENEGADES,PANTHERS,,1.0,,2.0,10.0,2.0
69,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,,1.0,1.0,25.0,5.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,,0.0,17.0,0.0
