game_id,date,season,week,league,away,home,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,ret_lg,ret_num,ret_td,ret_yds,score_ir,score_pr,score_pts,score_tot
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,1.0,50.0,,6.0,,6.0,50.0,,14.0,1.0,,14.0,,,,
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,,,,,,,,,18.0,6.0,,43.0,,,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,,8.0,,8.0,,,53.0,3.0,,69.0,,,,
FOOTBALL_CFL_2016_11_4_WPG@OTT,2016-11-04,2016,1,CFL,WPG,OTT,,,,1.0,,1.0,,,25.0,4.0,,58.0,,,,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,,7.0,,7.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,,4.0,,4.0,,,24.0,3.0,,44.0,,,,
FOOTBALL_CFL_2016_7_1_WPG@CGY,2016-07-01,2016,1,CFL,WPG,CGY,,,,7.0,,7.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_21_CGY@WPG,2016-07-21,2016,1,CFL,CGY,WPG,1.0,3.0,,6.0,,6.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,,,,4.0,,4.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,2.0,22.0,1.0,4.0,,4.0,22.0,5.0,20.0,1.0,,20.0,,,,
FOOTBALL_CFL_2016_8_26_WPG@MTL,2016-08-26,2016,1,CFL,WPG,MTL,,,,3.0,,3.0,,,19.0,3.0,,48.0,,,,
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,,,,2.0,,2.0,,,25.0,1.0,,25.0,,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,,1.0,,1.0,,,15.0,6.0,,60.0,,,,
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,,,,3.0,,3.0,,,33.0,3.0,,57.0,,,,
FOOTBALL_CFL_2016_9_24_WPG@CGY,2016-09-24,2016,1,CFL,WPG,CGY,,,,3.0,,3.0,,,18.0,2.0,,30.0,,,,
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,,,,3.0,,3.0,,,14.0,5.0,,51.0,,,,
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,,,,9.0,,9.0,,,12.0,2.0,,11.0,,,,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,1.0,31.0,,2.0,,2.0,31.0,,88.0,7.0,1.0,127.0,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,,,,7.0,,7.0,,,13.0,2.0,,13.0,,,,
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,,,,4.0,,4.0,,,65.0,5.0,,92.0,,,,
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,,,,,,,,,9.0,5.0,,28.0,,,,
FOOTBALL_CFL_2017_11_12_EDM@WPG,2017-11-12,2017,1,CFL,EDM,WPG,,,,2.0,,2.0,,,32.0,5.0,,56.0,,,,
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,1.0,4.0,,2.0,,2.0,4.0,,15.0,6.0,,59.0,,,,
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,,,,,,,,,12.0,4.0,,29.0,,,,
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,,,,,,,,,9.0,1.0,,9.0,,,,
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,,,,,,,,,38.0,4.0,,73.0,,,,
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,,,,1.0,,1.0,,,10.0,4.0,,26.0,,,,
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,,,,6.0,,6.0,,,6.0,2.0,,11.0,,,,
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,,,,,,,,19.0,3.0,,42.0,,,,
