game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions
ifqjpmiu0rxpplon,,,1,,,,,,,0.0,13.0,
STORM-FIREBIRDS,,,2,,,,,,,1.0,50.0,4.0
ALBANY-SALINA-0406,0406,,3,,ALBANY,SALINA,,,,150.0,2250.0,150.0
KATS-FIREBIRDS-0329,0329,,3,,KATS,FIREBIRDS,,,,0.0,7.0,1.0
CORPUSCHRISTI-ALBANY-0425,0425,,7,,CORPUSCHRISTI,ALBANY,,,,2.0,51.0,4.0
ALBANY-NASHVILLE-0510,0510,,9,,ALBANY,NASHVILLE,0.0,0.0,17.0,,,
CORPUSCHRISTI-ALBANY-0524,0524,,11,,CORPUSCHRISTI,ALBANY,,,,1.0,47.0,3.0
WASHINGTON-ALBANY-0614,0614,,14,,WASHINGTON,ALBANY,,,,0.0,3.0,1.0
SALINA-ALBANY-0621,0621,,15,,SALINA,ALBANY,,,,2.0,68.0,2.0
SYNTHETIC_AF1_2025_W4_ALBANY,,2025,4,AF1,,,,,,1.0,15.0,1.0
