game_id,date,season,week,league,away,home,interceptions_lost,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,14.0,7.0,17.0,11.0,1.0,49.0,,,7.0,18.0,44.0,,
SYNTHETIC_CFL_2022_W1_WPG,,2022,1,CFL,,,0.0,,,,,,,0.0,51.0,,,,,
SYNTHETIC_CFL_2022_W3_WPG,,2022,3,CFL,,,,,,,,,,,,,,,0.0,4.0
SYNTHETIC_CFL_2022_W4_WPG,,2022,4,CFL,,,1.0,,,,,,,0.0,16.0,,,,,
SYNTHETIC_CFL_2022_W5_WPG,,2022,5,CFL,,,,,,,,,,,,,,,1.0,10.0
6231,2022-07-15,2022,6,CFL,CGY,WPG,,,,,,,,,,,,,1.0,1.0
6236,2022-07-22,2022,7,CFL,WPG,EDM,,,,,,,,,,,,,1.0,7.0
6264,2022-09-10,2022,14,CFL,SSK,WPG,0.0,,,,,,,1.0,11.0,,,,,
6278,2022-10-08,2022,18,CFL,EDM,WPG,0.0,,,,,,,1.0,65.0,,,,,
6283,2022-10-15,2022,19,CFL,WPG,BC,2.0,,,,,,,3.0,325.0,,,,0.0,14.0
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,,,,,,,,,,0.0,1.0
9889288,2023-06-16,2023,2,CFL,WPG,SSK,0.0,,,,,,,0.0,19.0,,,,2.0,4.0
9889291,2023-06-22,2023,3,CFL,BC,WPG,0.0,,,,,,,0.0,23.0,,,,0.0,3.0
9889314,2023-08-03,2023,9,CFL,BC,WPG,0.0,,,,,,,1.0,78.0,,,,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,1.0,,,,,,,4.0,307.0,,,,0.0,15.0
9889323,2023-08-18,2023,11,CFL,WPG,CGY,0.0,,,,,,,0.0,171.0,,,,,
9889326,2023-08-24,2023,12,CFL,MTL,WPG,0.0,,,,,,,0.0,11.0,,,,,
9889336,2023-09-09,2023,14,CFL,SSK,WPG,0.0,,,,,,,0.0,21.0,,,,0.0,9.0
9889360,2023-10-21,2023,20,CFL,EDM,WPG,0.0,,,,,,,2.0,94.0,,,,,
9889361,2023-10-27,2023,21,CFL,WPG,CGY,0.0,,,,,,,2.0,278.0,,,,0.0,13.0
10798143,2024-05-25,2024,2,CFL,OTT,HAM,0.0,,,,,,,1.0,238.0,,,,0.0,1.0
10798024,2024-06-20,2024,3,CFL,OTT,MTL,1.0,,,,,,,1.0,292.0,,,,0.0,3.0
10798031,2024-06-30,2024,4,CFL,HAM,OTT,0.0,,,,,,,1.0,265.0,,,,0.0,12.0
10798033,2024-07-05,2024,5,CFL,OTT,WPG,0.0,,,,,,,0.0,24.0,,,,0.0,12.0
10798039,2024-07-14,2024,6,CFL,OTT,EDM,1.0,,,,,,,2.0,480.0,,,,,
10798040,2024-07-19,2024,7,CFL,EDM,OTT,2.0,,,,,,,0.0,257.0,,,,0.0,7.0
10798045,2024-07-26,2024,8,CFL,CGY,OTT,0.0,,,,,,,1.0,325.0,,,,,
10798052,2024-08-08,2024,10,CFL,SSK,OTT,0.0,,,,,,,0.0,55.0,,,,,
10798062,2024-08-24,2024,12,CFL,BC,OTT,1.0,,,,,,,3.0,390.0,,,,0.0,1.0
10798064,2024-08-31,2024,13,CFL,OTT,BC,0.0,,,,,,,1.0,206.0,,,,0.0,1.0
10798069,2024-09-07,2024,14,CFL,TOR,OTT,0.0,,,,,,,1.0,349.0,,,,0.0,4.0
10798073,2024-09-14,2024,15,CFL,OTT,HAM,1.0,,,,,,,0.0,164.0,,,,0.0,3.0
10798077,2024-09-21,2024,16,CFL,MTL,OTT,2.0,,,,,,,0.0,69.0,,,,,
10798091,2024-10-19,2024,20,CFL,OTT,TOR,1.0,,,,,,,4.0,400.0,,,,0.0,2.0
10798093,2024-10-25,2024,21,CFL,HAM,OTT,1.0,,,,,,,3.0,445.0,,,,0.0,11.0
11824045,2025-06-05,2025,1,CFL,OTT,SSK,0.0,,,,,,,2.0,413.0,,,,0.0,0.0
11824064,2025-07-06,2025,5,CFL,OTT,EDM,0.0,,,,,,,2.0,316.0,,,,0.0,1.0
11824066,2025-07-12,2025,6,CFL,OTT,HAM,2.0,,,,,,,1.0,283.0,,,,,
11824071,2025-07-20,2025,7,CFL,HAM,OTT,1.0,,,,,,,0.0,66.0,,,,0.0,-6.0
11824076,2025-07-31,2025,9,CFL,CGY,OTT,1.0,,,,,,,2.0,225.0,,,,0.0,16.0
11824082,2025-08-09,2025,10,CFL,OTT,TOR,0.0,,,,,,,5.0,373.0,,,,,
11824084,2025-08-14,2025,11,CFL,OTT,WPG,1.0,,,,,,,0.0,166.0,,,,0.0,1.0
11824105,2025-09-20,2025,16,CFL,WPG,OTT,2.0,,,,,,,2.0,406.0,,,,,4.0
11824111,2025-10-03,2025,18,CFL,SSK,OTT,3.0,,,,,,,0.0,141.0,,,,0.0,2.0
