game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_W1_MTL,,,1,CFL,,,,,,,0.0,112.0,4.0,,,,
SYNTHETIC_CFL_W2_MTL,,,2,CFL,,,,,,,0.0,127.0,7.0,,,,
SYNTHETIC_CFL_W3_MTL,,,3,CFL,,,,,,,0.0,68.0,4.0,,,,
SYNTHETIC_CFL_W4_MTL,,,4,CFL,,,,,,,0.0,52.0,3.0,,,,
SYNTHETIC_CFL_W6_MTL,,,6,CFL,,,,,,,1.0,78.0,6.0,,,,
SYNTHETIC_CFL_W7_MTL,,,7,CFL,,,,,,,1.0,28.0,4.0,,,,
SYNTHETIC_CFL_W8_MTL,,,8,CFL,,,,,,,0.0,154.0,8.0,,,,
SYNTHETIC_CFL_W9_MTL,,,9,CFL,,,0.0,,0.0,0.0,0.0,123.0,9.0,,,,
SYNTHETIC_CFL_W10_MTL,,,10,CFL,,,,,,,0.0,8.0,2.0,,,,
SYNTHETIC_CFL_W11_MTL,,,11,CFL,,,,,,,1.0,99.0,7.0,,,,
SYNTHETIC_CFL_W13_MTL,,,13,CFL,,,,,,,1.0,63.0,6.0,,,,
SYNTHETIC_CFL_W14_MTL,,,14,CFL,,,1.0,,0.0,0.0,1.0,42.0,3.0,,,,
SYNTHETIC_CFL_W16_MTL,,,16,CFL,,,,,,,2.0,52.0,7.0,,,,
SYNTHETIC_CFL_W17_MTL,,,17,CFL,,,,,,,1.0,52.0,3.0,,,,
SYNTHETIC_CFL_W19_MTL,,,19,CFL,,,,,,,0.0,65.0,3.0,,,,
SYNTHETIC_CFL_W20_MTL,,,20,CFL,,,,,,,1.0,72.0,6.0,,,,
SYNTHETIC_CFL_2023_W1_EDM,,2023,1,CFL,,,,,,,1.0,158.0,3.0,,,,
SYNTHETIC_CFL_2023_W2_EDM,,2023,2,CFL,,,,,,,0.0,9.0,1.0,,,,
SYNTHETIC_CFL_2023_W3_EDM,,2023,3,CFL,,,,,,,0.0,43.0,5.0,,,,
SYNTHETIC_CFL_2023_W11_EDM,,2023,11,CFL,,,,,,,0.0,14.0,2.0,,,,
SYNTHETIC_CFL_2023_W12_EDM,,2023,12,CFL,,,,,,,1.0,112.0,3.0,,,,
SYNTHETIC_CFL_2023_W13_EDM,,2023,13,CFL,,,,,,,0.0,55.0,5.0,,,,
SYNTHETIC_CFL_2023_W14_EDM,,2023,14,CFL,,,,0.0,,,0.0,89.0,5.0,,,0.0,1.0
SYNTHETIC_CFL_2023_W15_EDM,,2023,15,CFL,,,,,,,1.0,84.0,3.0,,,,
SYNTHETIC_CFL_2023_W16_EDM,,2023,16,CFL,,,,,,,0.0,38.0,2.0,,,,
SYNTHETIC_CFL_2023_W18_EDM,,2023,18,CFL,,,,,,,0.0,33.0,3.0,,,,
SYNTHETIC_CFL_2023_W19_EDM,,2023,19,CFL,,,,,,,0.0,61.0,7.0,,,,
SYNTHETIC_CFL_2023_W20_EDM,,2023,20,CFL,,,,,,,0.0,158.0,7.0,,,,
SYNTHETIC_CFL_2024_W1_EDM,,2024,1,CFL,,,,0.0,,,0.0,85.0,4.0,,,0.0,1.0
SYNTHETIC_CFL_2024_W2_EDM,,2024,2,CFL,,,,,,,0.0,54.0,5.0,,,,
SYNTHETIC_CFL_2024_W3_EDM,,2024,3,CFL,,,,,,,1.0,32.0,3.0,,,,
SYNTHETIC_CFL_2024_W4_EDM,,2024,4,CFL,,,,,,,0.0,6.0,1.0,,,,
SYNTHETIC_CFL_2024_W6_EDM,,2024,6,CFL,,,,,,,0.0,89.0,6.0,,,,
SYNTHETIC_CFL_2024_W7_EDM,,2024,7,CFL,,,,,,,0.0,74.0,7.0,,,,
SYNTHETIC_CFL_2024_W8_EDM,,2024,8,CFL,,,,,,,1.0,24.0,3.0,,,,
SYNTHETIC_CFL_2024_W9_EDM,,2024,9,CFL,,,,,,,0.0,41.0,2.0,,,,
SYNTHETIC_CFL_2024_W10_EDM,,2024,10,CFL,,,,,,,0.0,0.0,0.0,,,,
SYNTHETIC_CFL_2024_W11_EDM,,2024,11,CFL,,,,,,,0.0,93.0,5.0,,,,
SYNTHETIC_CFL_2024_W12_EDM,,2024,12,CFL,,,,,,,1.0,26.0,3.0,,,,
SYNTHETIC_CFL_2024_W13_EDM,,2024,13,CFL,,,,,,,1.0,112.0,6.0,,,,
SYNTHETIC_CFL_2024_W14_EDM,,2024,14,CFL,,,,,,,1.0,97.0,6.0,,,,
SYNTHETIC_CFL_2024_W16_EDM,,2024,16,CFL,,,,,,,1.0,44.0,2.0,,,,
SYNTHETIC_CFL_2024_W17_EDM,,2024,17,CFL,,,,,,,1.0,72.0,5.0,,,,
SYNTHETIC_CFL_2024_W18_EDM,,2024,18,CFL,,,,,,,1.0,87.0,5.0,,,,
SYNTHETIC_CFL_2024_W19_EDM,,2024,19,CFL,,,,,,,1.0,46.0,6.0,1.0,15.0,,
SYNTHETIC_CFL_2024_W21_EDM,,2024,21,CFL,,,,,,,1.0,88.0,5.0,,,,
SYNTHETIC_CFL_2025_W1_OTT,,2025,1,CFL,,,,,,,1.0,57.0,5.0,,,,
SYNTHETIC_CFL_2025_W2_OTT,,2025,2,CFL,,,,,,,0.0,56.0,5.0,,,,
SYNTHETIC_CFL_2025_W3_OTT,,2025,3,CFL,,,,,,,0.0,23.0,1.0,,,,
SYNTHETIC_CFL_2025_W4_OTT,,2025,4,CFL,,,,,,,0.0,83.0,4.0,,,,
SYNTHETIC_CFL_2025_W5_OTT,,2025,5,CFL,,,,,,,1.0,75.0,8.0,,,,
SYNTHETIC_CFL_2025_W6_OTT,,2025,6,CFL,,,,,,,0.0,128.0,7.0,,,,
SYNTHETIC_CFL_2025_W7_OTT,,2025,7,CFL,,,,,,,0.0,13.0,1.0,,,,
SYNTHETIC_CFL_2025_W9_OTT,,2025,9,CFL,,,,,,,0.0,110.0,5.0,,,,
SYNTHETIC_CFL_2025_W10_OTT,,2025,10,CFL,,,,,,,2.0,51.0,5.0,,,,
SYNTHETIC_CFL_2025_W11_OTT,,2025,11,CFL,,,,,,,0.0,72.0,5.0,,,,
SYNTHETIC_CFL_2025_W12_OTT,,2025,12,CFL,,,,,,,0.0,41.0,4.0,,,,
SYNTHETIC_CFL_2025_W14_OTT,,2025,14,CFL,,,,,,,1.0,31.0,3.0,,,,
SYNTHETIC_CFL_2025_W15_OTT,,2025,15,CFL,,,,,,,0.0,2.0,1.0,,,,
SYNTHETIC_CFL_2025_W16_OTT,,2025,16,CFL,,,,,,,,155.0,9.0,,,,
SYNTHETIC_CFL_2025_W18_OTT,,2025,18,CFL,,,,,,,0.0,56.0,5.0,,,,
SYNTHETIC_CFL_2025_W19_OTT,,2025,19,CFL,,,,,,,0.0,10.0,1.0,,,,
SYNTHETIC_CFL_2025_W20_OTT,,2025,20,CFL,,,,,,,1.0,37.0,5.0,,,,
