game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,,,22.0,1.0,1.0,,22.0,22.0,17.0,12.0,2.0,87.0,,12.0,2.0,2.0
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,6.0,1.0,1.0,,6.0,6.0,6.0,7.0,,11.0,,,,
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,,,1.0,,,,12.0,13.0,,56.0,,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,19.0,2.0,2.0,,17.0,17.0,18.0,,2.0,112.0,,12.0,2.0,2.0
FOOTBALL_CFL_2018_6_14_EDM@WPG,2018-06-14,2018,1,CFL,EDM,WPG,,,10.0,5.0,6.0,,2.0,3.0,9.0,16.0,,40.0,,,,
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,7.0,3.0,3.0,,8.0,14.0,9.0,11.0,,36.0,,,,
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,7.0,1.0,1.0,,7.0,7.0,23.0,34.0,1.0,165.0,,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,,,6.0,1.0,2.0,,2.0,6.0,10.0,13.0,,51.0,,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,,2.0,3.0,1.0,15.0,22.0,15.0,10.0,,69.0,1.0,6.0,,1.0
FOOTBALL_CFL_2018_7_7_EDM@TOR,2018-07-07,2018,1,CFL,EDM,TOR,,,17.0,3.0,3.0,,21.0,23.0,14.0,10.0,,39.0,,,,
FOOTBALL_CFL_2018_8_23_EDM@HAM,2018-08-23,2018,1,CFL,EDM,HAM,1.0,1.0,20.0,3.0,3.0,,29.0,35.0,8.0,61.0,,81.0,,,,
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,,,2.0,1.0,1.0,,2.0,2.0,14.0,14.0,1.0,81.0,,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,1.0,1.0,15.0,5.0,5.0,,8.0,30.0,10.0,19.0,,51.0,,,,
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,,,4.0,3.0,3.0,,,,6.0,18.0,,52.0,,,,
FOOTBALL_CFL_2018_9_29_WPG@EDM,2018-09-29,2018,1,CFL,WPG,EDM,1.0,1.0,,,,,,,11.0,18.0,,64.0,,,,
FOOTBALL_CFL_2018_9_3_EDM@CGY,2018-09-03,2018,1,CFL,EDM,CGY,,,13.0,3.0,3.0,,17.0,25.0,14.0,13.0,1.0,68.0,,6.0,1.0,1.0
