game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_td,kr_yds,pr_no,pr_td,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,3.0,7.0,,63.0,11.0,39.0,5.0,1552.0,12.0,2.0,268.0,3.0,2.0,77.0,3.0,1.0,6.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,2.0,13.0,,58.0,12.0,18.0,3.0,670.0,18.0,1.0,222.0,1.0,,14.0,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,,2.0,8.0,1.0,59.0,12.0,44.0,2.0,1247.0,11.0,1.0,267.0,8.0,,91.0,9.0,1.0,85.0
