game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_PANTHERS,,2023,1,USFL,,,0.0,13.0,1.0,0.0,0.0
SYNTHETIC_USFL_2023_W2_PANTHERS,,2023,2,USFL,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W3_PANTHERS,,2023,3,USFL,,,0.0,0.0,0.0,,
SYNTHETIC_USFL_2023_W7_PANTHERS,,2023,7,USFL,,,0.0,9.0,1.0,,
SYNTHETIC_USFL_2023_W8_PANTHERS,,2023,8,USFL,,,0.0,6.0,2.0,,
SYNTHETIC_USFL_2023_W11_PANTHERS,,2023,11,USFL,,,1.0,87.0,,,15.0
SYNTHETIC_UFL_2024_W1_PANTHERS,,2024,1,UFL,,,0.0,38.0,2.0,,
SYNTHETIC_UFL_2024_W2_PANTHERS,,2024,2,UFL,,,1.0,96.0,3.0,,
SYNTHETIC_UFL_2024_W3_PANTHERS,,2024,3,UFL,,,1.0,84.0,4.0,,
SYNTHETIC_UFL_2024_W4_PANTHERS,,2024,4,UFL,,,1.0,63.0,4.0,,
SYNTHETIC_UFL_2024_W5_PANTHERS,,2024,5,UFL,,,0.0,37.0,2.0,,
SYNTHETIC_UFL_2024_W6_PANTHERS,,2024,6,UFL,,,0.0,67.0,4.0,,
SYNTHETIC_UFL_2024_W7_PANTHERS,,2024,7,UFL,,,0.0,36.0,3.0,,
SYNTHETIC_UFL_2024_W8_PANTHERS,,2024,8,UFL,,,0.0,5.0,1.0,,
SYNTHETIC_UFL_2024_W11_PANTHERS,,2024,11,UFL,,,0.0,32.0,3.0,,
SYNTHETIC_UFL_2025_W1_ROUGHNECKS,,2025,1,UFL,,,0.0,53.0,4.0,,
SYNTHETIC_UFL_2025_W2_ROUGHNECKS,,2025,2,UFL,,,1.0,12.0,3.0,0.0,-7.0
SYNTHETIC_UFL_2025_W3_ROUGHNECKS,,2025,3,UFL,,,0.0,15.0,3.0,,
SYNTHETIC_UFL_2025_W4_ROUGHNECKS,,2025,4,UFL,,,0.0,29.0,1.0,,
SYNTHETIC_UFL_2025_W5_ROUGHNECKS,,2025,5,UFL,,,0.0,7.0,1.0,,
