game_id,date,season,week,league,away,home,1pt_conversion,conversions
SYNTHETIC_UFL_2024_W8_DEFENDERS,,2024,8,UFL,,,1.0,
SYNTHETIC_UFL_2024_W9_DEFENDERS,,2024,9,UFL,,,,2.0
