game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,12.0,8.0,25.0,1.0,709.0,,,,,,3.0,25.0,44.0,8.0,669.0,1.0,,18.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,4.0,12.0,22.0,,403.0,27.0,15.0,1.0,3.0,274.0,14.0,102.0,86.0,13.0,1009.0,14.0,1.0,36.0
