game_id,date,season,week,league,away,home,1pt_conversion,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2024_W1_ROUGHNECKS,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,,0.0,33.0,4.0,0.0,1.0
SYNTHETIC_UFL_2024_W2_ROUGHNECKS,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,1.0,0.0,79.0,5.0,0.0,3.0
SYNTHETIC_UFL_2024_W10_ROUGHNECKS,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,,0.0,75.0,5.0,1.0,24.0
SYNTHETIC_UFL_2025_W1_ROUGHNECKS,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,,0.0,5.0,2.0,0.0,16.0
SYNTHETIC_UFL_2025_W2_ROUGHNECKS,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,,0.0,16.0,3.0,0.0,14.0
SYNTHETIC_UFL_2025_W5_ROUGHNECKS,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,,0.0,8.0,1.0,1.0,24.0
SYNTHETIC_UFL_2025_W6_ROUGHNECKS,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,1.0,,0.0,37.0,1.0,0.0,9.0
SYNTHETIC_UFL_2025_W8_ROUGHNECKS,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,,0.0,15.0,3.0,0.0,9.0
SYNTHETIC_UFL_2025_W9_ROUGHNECKS,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,0.0,18.0,2.0,0.0,0.0
SYNTHETIC_UFL_2025_W10_ROUGHNECKS,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,0.0,25.0,1.0,0.0,19.0
SYNTHETIC_UFL_2026_W1_HOUSTONGAMBLERS,2026-03-28,2026,1,UFL,HOUSTON GAMBLERS,DALLAS RENEGADES,,,0.0,3.0,1.0,0.0,3.0
SYNTHETIC_UFL_2026_W2_HOUSTONGAMBLERS,2026-04-05,2026,2,UFL,BIRMINGHAM STALLIONS,HOUSTON GAMBLERS,,,0.0,0.0,0.0,,
