game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_td,kr_yds,pr_no,pr_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,2.0,6.0,45.0,11.0,10.0,,420.0,12.0,141.0,18.0,5.0,113.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,6.0,5.0,47.0,11.0,20.0,1.0,614.0,18.0,194.0,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,9.0,1.0,3.0,19.0,5.0,4.0,,98.0,9.0,176.0,3.0,,14.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,1.0,1.0,22.0,8.0,3.0,,39.0,3.0,21.0,3.0,,6.0
