game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goal_pct,field_goals_made,int_avg,int_long,int_yards,kicking_deuce,kicking_pat,kicking_pat_att,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2026_3_14_T570667G1127141@T581933,2026-03-15,2026,2,NAL,Colorado Spartans,Dallas Bulls,,,,0.0,0.0,0.0,0.0,,,,0.0,2.0,3.0,,,,
FOOTBALL_IFL_2026_4_18_TVEGASKNIGHTHAWKSG20260418AH7B@TSANANTONIOGUNSLINGERS,2026-04-18,2026,6,IFL,Vegas Knight Hawks,San Antonio Gunslingers,3.0,,,,,,,,,,,,,0.0,3.0,,
FOOTBALL_IFL_2026_5_3_TARIZONARATTLERSG202605032RVU@TVEGASKNIGHTHAWKS,2026-05-03,2026,8,IFL,Arizona Rattlers,Vegas Knight Hawks,2.0,,,,,,,,,,,,,2.0,4.0,,
FOOTBALL_IFL_2026_5_31_TQUADCITYSTEAMWHEELERSG20260531JQPF@TVEGASKNIGHTHAWKS,2026-05-31,2026,12,IFL,Quad City Steamwheelers,Vegas Knight Hawks,3.0,1.0,0.0,,,,,18.0,18.0,18.0,,,,3.0,6.0,,
FOOTBALL_IFL_2026_6_7_TVEGASKNIGHTHAWKSG202606072NRX@TNAZWRANGLERS,2026-06-07,2026,13,IFL,Vegas Knight Hawks,NAZ Wranglers,2.0,,,,,,,,,,,,,4.0,6.0,1.0,0.0
FOOTBALL_IFL_2026_6_13_TTUCSONSUGARSKULLSG20260613XZNU@TVEGASKNIGHTHAWKS,2026-06-13,2026,14,IFL,Tucson Sugar Skulls,Vegas Knight Hawks,0.0,,,,,,,,,,,,,1.0,1.0,1.0,0.0
