game_id,date,season,week,league,away,home,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,1.0,42.0,12.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,7.0,3.0
