game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,4.0,38.0,18.0,4.0,,208.0,6.0,16.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,9.0,12.0,7.0,,3.0,97.0,7.0,
