game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,,,,,,5.0,1.0,1.0,,5.0,,,,3.0,8.0,,8.0,,,,,,,
FOOTBALL_CFL_2022_6_18_SSK@EDM,2022-06-18,2022,1,CFL,SSK,EDM,,,,,,,,,,,,,,,5.0,17.0,,32.0,,,,,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,,,,18.0,1.0,1.0,18.0,18.0,,,,6.0,10.0,,27.0,,,,,,,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,,,,,,3.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,,,,,,,3.0,4.0,4.0,-13.0,-13.0,,,,3.0,5.0,,6.0,,,,,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,,,,24.0,1.0,1.0,24.0,24.0,,,,7.0,19.0,,57.0,,,,,,,
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,,,,,,,2.0,1.0,1.0,2.0,2.0,,,,5.0,,1.0,92.0,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,,,,,,,,,,,,2.0,3.0,,5.0,,,,,,,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,,,,,,,,1.0,,,19.0,1.0,19.0,4.0,6.0,,7.0,,,,,,,
FOOTBALL_CFL_2022_8_26_SSK@BC,2022-08-26,2022,1,CFL,SSK,BC,,,,,,,15.0,3.0,4.0,27.0,30.0,24.0,1.0,24.0,15.0,22.0,,129.0,,,,,,,
FOOTBALL_CFL_2022_9_10_SSK@WPG,2022-09-10,2022,1,CFL,SSK,WPG,,,,,,,1.0,1.0,1.0,1.0,1.0,32.0,3.0,66.0,10.0,20.0,,71.0,,,,,,,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,,,,,,,11.0,2.0,2.0,15.0,16.0,30.0,2.0,59.0,10.0,5.0,,14.0,,,,,,,
FOOTBALL_CFL_2022_9_4_WPG@SSK,2022-09-04,2022,1,CFL,WPG,SSK,1.0,1.0,,,,,16.0,3.0,4.0,20.0,20.0,,,,15.0,19.0,,85.0,,,,,,,
SYNTHETIC_CFL_2022_W1_SSK,,2022,1,CFL,,,,,,0.0,5.0,1.0,,,,,,,,,,,,,0.0,8.0,,,,,
SYNTHETIC_CFL_2022_W3_SSK,,2022,3,CFL,,,,,,0.0,18.0,1.0,,,,,,,,,,,,,0.0,27.0,,,,,
SYNTHETIC_CFL_2022_W4_SSK,,2022,4,CFL,,,,,,0.0,24.0,1.0,,,,,,,,,,,,,0.0,57.0,,,,,
SYNTHETIC_CFL_2022_W5_SSK,,2022,5,CFL,,,,,,0.0,2.0,1.0,,,,,,,,,,,,,1.0,92.0,,,,,
6232,2022-07-16,2022,6,CFL,SSK,TOR,,,,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
6237,2022-07-24,2022,7,CFL,TOR,SSK,,,,0.0,-13.0,4.0,,,,,,,,,,,,,0.0,6.0,,,,,
6249,2022-08-13,2022,10,CFL,SSK,EDM,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,
