game_id,date,season,week,league,away,home,assists,blocks,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,9.0,4.0,,8.0,,15.0,17.0,6.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,2.0,4.0,6.0,6.0,55.0,,52.0,12.0
