game_id,date,season,week,league,away,home,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
NLL_2019_SEASON_TOTAL,,,1,,,,20.0,11.0,24.0,4.0,44.0,,,
NLL_2021_SEASON_TOTAL,,,1,,,,64.0,18.0,47.0,,111.0,,,
NLL_2022_SEASON_TOTAL,,,1,,,,69.0,18.0,41.0,2.0,110.0,13.0,4.0,1.0
NLL_2023_SEASON_TOTAL,,,1,,,,58.0,18.0,37.0,,95.0,20.0,9.0,
