game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,11.0,3.0,52.0,3.0,20.0,37.0,4.0,521.0,1.0,,2.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,5.0,12.0,,,,,20.0,2.0,201.0,1.0,1.0,5.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,,,,,19.0,3.0,213.0,3.0,,3.0
