game_id,date,season,week,league,away,home,assist_tackles,def_tackles,gp,int_avg,int_long,int_tds,int_yards,interceptions_made,kr_no,kr_yds,pass_att,pass_cmp,pass_yds,pr_no,pr_yds,receiving_tds,receiving_yards,receptions,recv_rec,recv_td,recv_yds,rush_att,rush_yds,solo_tackles,targets
FOOTBALL_AAF_2019_2_9_ATL@ORL,2019-02-09,2019,1,AAF,ATL,ORL,,,,,,,,,,,,,,,,0.0,43.0,3.0,,,,,,,8.0
FOOTBALL_AAF_2019_2_17_ATL@SD,2019-02-17,2019,2,AAF,ATL,SD,,,,,,,,,,,,,,,,0.0,23.0,3.0,,,,,,,7.0
FOOTBALL_AAF_2019_2_24_BIR@ATL,2019-02-24,2019,3,AAF,BIR,ATL,,,,,,,,,,,,,,,,0.0,72.0,4.0,,,,,,,8.0
FOOTBALL_AAF_2019_3_3_ATL@ARI,2019-03-03,2019,4,AAF,ATL,ARI,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,2.0
FOOTBALL_AAF_2019_3_10_MEM@ATL,2019-03-10,2019,5,AAF,MEM,ATL,,,,,,,,,,,,,,,,0.0,89.0,5.0,,,,,,,6.0
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,38.0,6.0,,,,,,1.0,9.0
FOOTBALL_AAF_2019_3_23_ORL@ATL,2019-03-23,2019,7,AAF,ORL,ATL,,,,,,,,,,,,,,,,0.0,18.0,1.0,,,,,,,4.0
FOOTBALL_AAF_2019_3_31_ATL@BIR,2019-03-31,2019,8,AAF,ATL,BIR,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,15.0,2.0,,,,,,1.0,6.0
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,1.0,10.0,,,,,,11.0,274.0,4.0,2.0,19.0,5.0,11.0,,,,40.0,12.0,674.0,5.0,34.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,3.0,11.0,,,,,,7.0,129.0,1.0,,,1.0,10.0,,,,61.0,13.0,1008.0,4.0,,,
