game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,10.0,46.0,19.0,5.0,3.0,177.0,13.0,1.0,110.0,28.0,60.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,10.0,1.0,1.0,,,26.0,23.0,3.0,300.0,2.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,8.0,,,,,,16.0,,169.0,,
