game_id,date,season,week,league,away,home,field_goal_yards,interceptions,interceptions_lost,passing_tds,passing_yards,patkick,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
4002611142914,,,6,,,,0.0,,2.0,5.0,175.0,0.0,0.0,10.0,3.0,0.0,0.0
BILLINGS-WASHINGTON-0510,2025-05-10,2025,9,AF1,WASHINGTON,BILLINGS,,,,,,,,,,1.0,6.0
SWKANSAS-BILLINGS-0517,2025-05-17,2025,10,AF1,BILLINGS,SW KANSAS,,,,7.0,197.0,,,,,,3.0
BILLINGS-SALINA-0524,2025-05-24,2025,11,AF1,SALINA,BILLINGS,,4.0,,4.0,234.0,,,,,0.0,2.0
OREGON-BILLINGS-0601,2025-06-01,2025,12,AF1,BILLINGS,OREGON,,0.0,,2.0,50.0,,,,,0.0,9.0
NASHVILLE-BILLINGS-0609,2025-06-09,2025,13,AF1,BILLINGS,NASHVILLE,,2.0,,5.0,179.0,,,,,0.0,17.0
BILLINGS-OREGON-0614,2025-06-14,2025,14,AF1,OREGON,BILLINGS,,0.0,,2.0,147.0,,,,,0.0,4.0
