game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_sacks,def_tackles,def_tackles_solo,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,2.0,4.0,141.0,,10.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,,1.0,3.0,81.0,,12.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,1.0,3.0,87.0,,12.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,3.0,,1.0,0.5,96.0,,12.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,1.0,,80.0,,12.0
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,,,,5.0,5.0,1.0
