game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W1_GENERALS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,0.0,,0.0,177.0,,,1.0,57.0
SYNTHETIC_USFL_2023_W5_GENERALS,2023-05-14,2023,5,USFL,STARS,GENERALS,1.0,1.0,,0.0,190.0,,,2.0,63.0
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,0.0,,0.0,213.0,14.0,1.0,0.0,28.0
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,0.0,,1.0,136.0,,,0.0,21.0
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,0.0,1.0,2.0,180.0,,,1.0,98.0
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,2.0,1.0,0.0,137.0,,,0.0,68.0
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,0.0,,1.0,113.0,,,0.0,38.0
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,1.0,,1.0,177.0,,,0.0,24.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,0.0,,3.0,201.0,,,0.0,9.0
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,2.0,,2.0,144.0,,,0.0,76.0
