game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,,2.0,1.0,31.0,4.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,4.0,1.0,1.0,7.0,2.0,74.0,12.0
