game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,fta,minutes,off_rebounds,plus_minus,points,rebounds,turnovers
WNBA_202505210PHO,2025-05-21,2025,1,WNBA,LAS,PHO,,,,,,1.0,,1.0,,1.15,,,,,
WNBA_202506060DAL,2025-06-06,2025,1,WNBA,LAS,DAL,,,,1.0,,1.0,,1.0,,2.716666666666667,,-8.0,,,1.0
WNBA_202506140MIN,2025-06-14,2025,1,WNBA,LAS,MIN,,,1.0,,0.5,2.0,1.0,,,3.283333333333333,,-3.0,2.0,1.0,
WNBA_202506170LAS,2025-06-17,2025,1,WNBA,SEA,LAS,1.0,3.0,1.0,2.0,,4.0,,2.0,,10.766666666666667,,-14.0,,1.0,2.0
WNBA_202506210MIN,2025-06-21,2025,1,WNBA,LAS,MIN,,,,,,,,,2.0,2.0166666666666666,,-2.0,,,1.0
WNBA_202507100LAS,2025-07-10,2025,1,WNBA,MIN,LAS,,,,,,,,,,1.35,,3.0,,,
WNBA_202507130LAS,2025-07-13,2025,1,WNBA,CON,LAS,,1.0,,1.0,,3.0,,1.0,,5.916666666666667,,-6.0,,,
WNBA_202507150LAS,2025-07-15,2025,1,WNBA,WAS,LAS,,1.0,1.0,,0.5,8.0,4.0,2.0,,13.133333333333333,,5.0,8.0,1.0,1.0
WNBA_202507220WAS,2025-07-22,2025,1,WNBA,LAS,WAS,,,1.0,,,,,1.0,,6.783333333333333,1.0,-1.0,,2.0,
WNBA_202507240CON,2025-07-24,2025,1,WNBA,LAS,CON,,1.0,1.0,,,1.0,,2.0,,5.383333333333334,,-11.0,,1.0,1.0
WNBA_202507260NYL,2025-07-26,2025,1,WNBA,LAS,NYL,,,,,1.0,2.0,2.0,1.0,,5.833333333333333,1.0,3.0,4.0,1.0,1.0
WNBA_202508090GSV,2025-08-09,2025,1,WNBA,LAS,GSV,,,1.0,,,,,,,2.966666666666667,,6.0,,1.0,
WNBA_202509030ATL,2025-09-03,2025,1,WNBA,LAS,ATL,,,1.0,,0.5,2.0,1.0,1.0,,2.4333333333333336,1.0,-5.0,2.0,2.0,
WNBA_202509050ATL,2025-09-05,2025,1,WNBA,LAS,ATL,,,,,,1.0,,1.0,,1.05,,-2.0,,,
WNBA_202509070LAS,2025-09-07,2025,1,WNBA,DAL,LAS,1.0,,1.0,,,1.0,,,,2.466666666666667,,-1.0,,1.0,
WNBA_202509110LAS,2025-09-11,2025,1,WNBA,LVA,LAS,2.0,,,,1.0,2.0,2.0,3.0,,9.55,,-3.0,4.0,,
