game_id,date,season,week,league,away,home,extra_point,field_goal_yards,missed,pass_att,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,,,,,70.0,4.0,4.0,88.0,,265.0,1.0,,,,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,,,70.0,3.0,3.0,59.0,,195.0,,,,,,,
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,,,,,64.0,1.0,1.0,23.0,,64.0,10.0,4.0,3.0,50.0,10.0,1.0,1.0
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,,,61.0,5.0,5.0,60.0,,265.0,7.0,2.0,2.0,36.0,6.0,,
FOOTBALL_CFL_2017_7_15_BC@HAM,2017-07-15,2017,1,CFL,BC,HAM,,,,,69.0,4.0,4.0,90.0,,244.0,4.0,1.0,1.0,48.0,4.0,2.0,1.0
FOOTBALL_CFL_2017_7_20_EDM@HAM,2017-07-20,2017,1,CFL,EDM,HAM,,,,,72.0,5.0,5.0,135.0,,350.0,14.0,4.0,4.0,46.0,14.0,2.0,2.0
FOOTBALL_CFL_2017_7_29_HAM@CGY,2017-07-29,2017,1,CFL,HAM,CGY,,,,1.0,72.0,1.0,1.0,38.0,1.0,72.0,1.0,,,,,,
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,,,72.0,3.0,3.0,60.0,,199.0,8.0,2.0,2.0,39.0,8.0,2.0,2.0
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,,,,,77.0,4.0,4.0,97.0,,261.0,,,,,,,
FOOTBALL_CFL_2017_8_18_OTT@HAM,2017-08-18,2017,1,CFL,OTT,HAM,,,,,95.0,3.0,2.0,51.0,,224.0,4.0,1.0,1.0,43.0,4.0,1.0,1.0
