game_id,date,season,week,league,away,home,fumbles_lost,receiving_tds,receiving_yards,receptions
SYNTHETIC_CFL_2024_W2_BC,2024-05-25,2024,2,CFL,BC,CGY,,0.0,20.0,2.0
SYNTHETIC_CFL_2024_W4_BC,2024-06-27,2024,4,CFL,EDM,BC,,0.0,21.0,2.0
SYNTHETIC_CFL_2024_W5_BC,2024-07-07,2024,5,CFL,BC,HAM,,1.0,85.0,4.0
SYNTHETIC_CFL_2024_W6_BC,2024-07-13,2024,6,CFL,SSK,BC,,1.0,80.0,6.0
SYNTHETIC_CFL_2024_W7_BC,2024-07-21,2024,7,CFL,BC,CGY,,1.0,59.0,6.0
SYNTHETIC_CFL_2024_W8_BC,,2024,8,CFL,,,,0.0,43.0,4.0
SYNTHETIC_CFL_2024_W9_BC,2024-08-01,2024,9,CFL,BC,WPG,,0.0,4.0,1.0
SYNTHETIC_CFL_2024_W10_BC,2024-08-11,2024,10,CFL,BC,EDM,,0.0,23.0,3.0
SYNTHETIC_CFL_2024_W11_BC,2024-08-18,2024,11,CFL,WPG,BC,,1.0,51.0,3.0
SYNTHETIC_CFL_2024_W12_BC,2024-08-24,2024,12,CFL,BC,OTT,,0.0,30.0,3.0
SYNTHETIC_CFL_2024_W14_BC,2024-09-06,2024,14,CFL,BC,MTL,,0.0,30.0,5.0
SYNTHETIC_CFL_2024_W15_BC,2024-09-13,2024,15,CFL,TOR,BC,,0.0,12.0,1.0
SYNTHETIC_CFL_2024_W16_BC,,2024,16,CFL,,,,0.0,61.0,2.0
SYNTHETIC_CFL_2024_W17_BC,2024-09-27,2024,17,CFL,HAM,BC,,0.0,26.0,3.0
SYNTHETIC_CFL_2024_W18_BC,2024-10-04,2024,18,CFL,CGY,BC,,0.0,13.0,2.0
SYNTHETIC_CFL_2024_W19_BC,2024-10-12,2024,19,CFL,BC,SSK,,0.0,37.0,4.0
SYNTHETIC_CFL_2024_W20_BC,2024-10-19,2024,20,CFL,MTL,BC,,0.0,24.0,2.0
SYNTHETIC_CFL_2024_W21_BC,,2024,21,CFL,,,,0.0,51.0,2.0
SYNTHETIC_CFL_2025_W1_BC,2025-06-07,2025,1,CFL,EDM,BC,,2.0,105.0,6.0
SYNTHETIC_CFL_2025_W2_BC,2025-06-12,2025,2,CFL,BC,WPG,1.0,,20.0,2.0
SYNTHETIC_CFL_2025_W5_BC,2025-07-05,2025,5,CFL,BC,MTL,,1.0,85.0,4.0
SYNTHETIC_CFL_2025_W6_BC,2025-07-13,2025,6,CFL,BC,EDM,,1.0,80.0,6.0
SYNTHETIC_CFL_2025_W7_BC,2025-07-19,2025,7,CFL,SSK,BC,,1.0,59.0,6.0
SYNTHETIC_CFL_2025_W8_BC,2025-07-27,2025,8,CFL,HAM,BC,,,43.0,4.0
SYNTHETIC_CFL_2025_W10_BC,2025-08-07,2025,10,CFL,BC,HAM,,,23.0,3.0
SYNTHETIC_CFL_2025_W11_BC,2025-08-16,2025,11,CFL,MTL,BC,,1.0,51.0,3.0
SYNTHETIC_CFL_2025_W12_BC,2025-08-23,2025,12,CFL,BC,TOR,,,30.0,3.0
SYNTHETIC_CFL_2025_W14_BC,2025-09-05,2025,14,CFL,BC,OTT,,,30.0,5.0
SYNTHETIC_CFL_2025_W15_BC,2025-09-12,2025,15,CFL,OTT,BC,,,12.0,1.0
SYNTHETIC_CFL_2025_W16_BC,2025-09-19,2025,16,CFL,BC,CGY,,,61.0,2.0
SYNTHETIC_CFL_2025_W17_BC,2025-09-26,2025,17,CFL,TOR,BC,,,26.0,3.0
SYNTHETIC_CFL_2025_W18_BC,2025-10-04,2025,18,CFL,CGY,BC,,,13.0,2.0
SYNTHETIC_CFL_2025_W20_BC,2025-10-17,2025,20,CFL,EDM,BC,,,24.0,2.0
SYNTHETIC_CFL_2025_W21_BC,2025-10-25,2025,21,CFL,BC,SSK,,,51.0,2.0
