game_id,date,season,week,league,away,home,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,9.0,4.0,41.0,18.0,1.0,108.0,4.0,23.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,12.0,,,3.0,,28.0,7.0,16.0
