game_id,date,season,week,league,away,home,interceptions_made,sacks,tackles
SYNTHETIC_CFL_2023_W1_CGY,,2023,1,CFL,,,,,6.0
SYNTHETIC_CFL_2023_W2_CGY,,2023,2,CFL,,,,,6.0
SYNTHETIC_CFL_2023_W5_CGY,,2023,5,CFL,,,,,5.0
SYNTHETIC_CFL_2023_W6_CGY,,2023,6,CFL,,,,,10.0
SYNTHETIC_CFL_2023_W7_CGY,,2023,7,CFL,,,,,11.0
SYNTHETIC_CFL_2023_W8_CGY,,2023,8,CFL,,,,,6.0
SYNTHETIC_CFL_2023_W9_CGY,,2023,9,CFL,,,,,2.0
SYNTHETIC_CFL_2023_W10_CGY,,2023,10,CFL,,,0.0,0.0,1.0
SYNTHETIC_CFL_2023_W11_CGY,,2023,11,CFL,,,0.0,1.0,7.0
SYNTHETIC_CFL_2023_W12_CGY,,2023,12,CFL,,,0.0,0.0,7.0
SYNTHETIC_CFL_2023_W13_CGY,,2023,13,CFL,,,0.0,0.0,1.0
