game_id,date,season,week,league,away,home,def_ff,def_tackles,gp,punt_no,punt_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,2.0,12.0,39.0,1285.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,11.0,20.0,811.0
