game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_td,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_tgt,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,10.0,,,,,,34.0,2.0,,388.0,9.0,,33.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,11.0,3.0,,78.0,,,48.0,5.0,,387.0,10.0,,52.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,14.0,1.0,401.0,,,76.0,3.0,,708.0,34.0,1.0,194.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,1.0,,50.0,10.0,123.0,55.0,7.0,,645.0,8.0,,62.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,8.0,,,,,,23.0,2.0,,233.0,5.0,1.0,24.0
FOOTBALL_EFA_2026_SEASON_TOTAL,,2026,1,EFA,,,,1.0,,,,,,2.0,1.0,2.0,45.0,,,
