game_id,date,season,week,league,away,home,def_int,def_pd,def_tackles,gp,pat_att,pat_made
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,,28.0,10.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,7.0,16.0,9.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,3.0,13.0,11.0,4.0,2.0
