game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,,,,,,,,,,,,28.0,2.0,48.0,,,
FOOTBALL_CFL_2021_10_15_WPG@EDM,2021-10-15,2021,1,CFL,WPG,EDM,,,,,,,1.0,3.0,1.0,11.0,11.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,,18.0,2.0,2.0,,15.0,34.0,,,,,,
FOOTBALL_CFL_2021_10_8_EDM@WPG,2021-10-08,2021,1,CFL,EDM,WPG,,,,,,,,1.0,,,,28.0,2.0,49.0,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,,,,30.0,2.0,5.0,,27.0,35.0,,,,,,
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,1.0,1.0,,,,5.0,2.0,4.0,,4.0,8.0,,,,,,
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,,,,6.0,1.0,1.0,,1.0,6.0,,,,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,,28.0,3.0,5.0,,39.0,50.0,,,,,,
FOOTBALL_CFL_2021_8_14_MTL@EDM,2021-08-14,2021,1,CFL,MTL,EDM,,,,,,16.0,3.0,3.0,1.0,8.0,35.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,,,,18.0,3.0,3.0,,12.0,34.0,,,,,,
FOOTBALL_CFL_2021_8_7_OTT@EDM,2021-08-07,2021,1,CFL,OTT,EDM,1.0,1.0,,,,11.0,5.0,7.0,,21.0,47.0,,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,1.0,1.0,,,,20.0,2.0,3.0,,9.0,24.0,,,,,,
FOOTBALL_CFL_2021_9_18_WPG@EDM,2021-09-18,2021,1,CFL,WPG,EDM,,,,,,,,1.0,,,,,,,,,
FOOTBALL_CFL_2021_9_28_EDM@OTT,2021-09-28,2021,1,CFL,EDM,OTT,,,,,,,3.0,4.0,2.0,25.0,85.0,,,,2.0,12.0,2.0
FOOTBALL_CFL_2022_10_28_BC@WPG,2022-10-28,2022,1,CFL,BC,WPG,,,,,,,,1.0,,,,26.0,1.0,26.0,,,
FOOTBALL_CFL_2022_6_11_EDM@BC,2022-06-11,2022,1,CFL,EDM,BC,,,,,,,,,,,,27.0,3.0,61.0,,,
FOOTBALL_CFL_2022_6_18_SSK@EDM,2022-06-18,2022,1,CFL,SSK,EDM,1.0,1.0,,,,,,2.0,,,,15.0,1.0,15.0,,,
FOOTBALL_CFL_2022_6_25_TOR@BC,2022-06-25,2022,1,CFL,TOR,BC,,,,,,,,,,,,20.0,4.0,50.0,,,
FOOTBALL_CFL_2022_6_30_BC@OTT,2022-06-30,2022,1,CFL,BC,OTT,,,,,,,,,,,,15.0,1.0,15.0,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,,,,,,,,,,,,25.0,3.0,58.0,,,
FOOTBALL_CFL_2022_7_9_WPG@BC,2022-07-09,2022,1,CFL,WPG,BC,,,,,,,,,,,,23.0,6.0,109.0,,,
FOOTBALL_CFL_2022_8_13_BC@CGY,2022-08-13,2022,1,CFL,BC,CGY,,,,,,,,,,,,27.0,4.0,85.0,,,
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,,,,,,,,,,,,14.0,3.0,19.0,,,
SYNTHETIC_CFL_2022_W21_EDM,,2022,21,CFL,,,,,0.0,0.0,0.0,,,,,,,,,,,,
